"causeid","cause.of.death","icd10"
1,"Salmonella infections","A01"
1,"Salmonella infections","A02"
2,"Shigellosis and amebiasis","A03"
2,"Shigellosis and amebiasis","A06"
3,"Certain other intestinal infections","A04"
3,"Certain other intestinal infections","A07"
3,"Certain other intestinal infections","A08"
3,"Certain other intestinal infections","A09"
4,"Respiratory tuberculosis","A16"
5,"Other tuberculosis","A17"
5,"Other tuberculosis","A18"
5,"Other tuberculosis","A19"
6,"Whooping cough","A37"
7,"Scarlet fever and erysipelas","A38"
7,"Scarlet fever and erysipelas","A46"
8,"Meningococcal infection","A39"
9,"Septicemia","A40"
9,"Septicemia","A41"
10,"Syphilis","A50"
10,"Syphilis","A51"
10,"Syphilis","A52"
10,"Syphilis","A53"
11,"Acute poliomyelitis","A80"
12,"Arthropod-borne viral encephalitis","A83"
12,"Arthropod-borne viral encephalitis","A84"
12,"Arthropod-borne viral encephalitis","A852"
13,"Measles","B05"
14,"Viral hepatitis","B15"
14,"Viral hepatitis","B16"
14,"Viral hepatitis","B17"
14,"Viral hepatitis","B18"
14,"Viral hepatitis","B19"
15,"Human immunodeficiency virus (HIV) disease","B20"
15,"Human immunodeficiency virus (HIV) disease","B21"
15,"Human immunodeficiency virus (HIV) disease","B22"
15,"Human immunodeficiency virus (HIV) disease","B23"
15,"Human immunodeficiency virus (HIV) disease","B24"
16,"Malaria","B50"
16,"Malaria","B51"
16,"Malaria","B52"
16,"Malaria","B53"
16,"Malaria","B54"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A00"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A05"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A20"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A21"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A22"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A23"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A24"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A25"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A26"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A27"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A28"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A29"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A30"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A31"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A32"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A33"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A34"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A35"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A36"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A42"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A43"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A44"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A48"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A49"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A54"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A55"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A56"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A57"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A58"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A59"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A60"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A61"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A62"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A63"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A64"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A65"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A66"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A67"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A68"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A69"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A70"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A71"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A72"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A73"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A74"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A75"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A76"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A77"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A78"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A79"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A81"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A82"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A850"
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A851"
