"mechanism","intent","matrix_version"
"any","any","Unknown"
"bites_stings","any","Unknown"
"cut_pierce","any","Unknown"
"drowning","any","Unknown"
"fall","any","Unknown"
"fire_burn","any","Unknown"
"firearm","any","Unknown"
"machinery","any","Unknown"
"motor_vehicle_nontraffic","any","Unknown"
"motor_vehicle_traffic","any","Unknown"
"mvt_motorcyclist","any","Unknown"
"mvt_occupant","any","Unknown"
"mvt_other","any","Unknown"
"mvt_pedal_cyclist","any","Unknown"
"mvt_pedestrian","any","Unknown"
"mvt_unspecified","any","Unknown"
"natural_environmental","any","Unknown"
"other_land_transport","any","Unknown"
"other_specified","any","Unknown"
"other_transport","any","Unknown"
"overexertion","any","Unknown"
"pedal_cyclist","any","Unknown"
"pedestrian","any","Unknown"
"poisoning","any","Unknown"
"poisoning_drug","any","Unknown"
"poisoning_nondrug","any","Unknown"
"struck_by_against","any","Unknown"
"suffocation","any","Unknown"
"unspecified","any","Unknown"
"any","assault","Unknown"
"bites_stings","assault","Unknown"
"cut_pierce","assault","Unknown"
"drowning","assault","Unknown"
"fall","assault","Unknown"
"fire_burn","assault","Unknown"
"firearm","assault","Unknown"
"machinery","assault","Unknown"
"motor_vehicle_nontraffic","assault","Unknown"
"motor_vehicle_traffic","assault","Unknown"
"mvt_motorcyclist","assault","Unknown"
"mvt_occupant","assault","Unknown"
"mvt_other","assault","Unknown"
"mvt_pedal_cyclist","assault","Unknown"
"mvt_pedestrian","assault","Unknown"
"mvt_unspecified","assault","Unknown"
"natural_environmental","assault","Unknown"
"other_land_transport","assault","Unknown"
"other_specified","assault","Unknown"
"other_transport","assault","Unknown"
"overexertion","assault","Unknown"
"pedal_cyclist","assault","Unknown"
"pedestrian","assault","Unknown"
"poisoning","assault","Unknown"
"poisoning_drug","assault","Unknown"
"poisoning_nondrug","assault","Unknown"
"struck_by_against","assault","Unknown"
"suffocation","assault","Unknown"
"unspecified","assault","Unknown"
"any","intentional","Unknown"
"bites_stings","intentional","Unknown"
"cut_pierce","intentional","Unknown"
"drowning","intentional","Unknown"
"fall","intentional","Unknown"
"fire_burn","intentional","Unknown"
"firearm","intentional","Unknown"
"machinery","intentional","Unknown"
"motor_vehicle_nontraffic","intentional","Unknown"
"motor_vehicle_traffic","intentional","Unknown"
"mvt_motorcyclist","intentional","Unknown"
"mvt_occupant","intentional","Unknown"
"mvt_other","intentional","Unknown"
"mvt_pedal_cyclist","intentional","Unknown"
"mvt_pedestrian","intentional","Unknown"
"mvt_unspecified","intentional","Unknown"
"natural_environmental","intentional","Unknown"
"other_land_transport","intentional","Unknown"
"other_specified","intentional","Unknown"
"other_transport","intentional","Unknown"
"overexertion","intentional","Unknown"
"pedal_cyclist","intentional","Unknown"
"pedestrian","intentional","Unknown"
"poisoning","intentional","Unknown"
"poisoning_drug","intentional","Unknown"
"poisoning_nondrug","intentional","Unknown"
"struck_by_against","intentional","Unknown"
"suffocation","intentional","Unknown"
"unspecified","intentional","Unknown"
"any","legal","Unknown"
"bites_stings","legal","Unknown"
"cut_pierce","legal","Unknown"
"drowning","legal","Unknown"
"fall","legal","Unknown"
"fire_burn","legal","Unknown"
"firearm","legal","Unknown"
"machinery","legal","Unknown"
"motor_vehicle_nontraffic","legal","Unknown"
"motor_vehicle_traffic","legal","Unknown"
"mvt_motorcyclist","legal","Unknown"
"mvt_occupant","legal","Unknown"
"mvt_other","legal","Unknown"
"mvt_pedal_cyclist","legal","Unknown"
"mvt_pedestrian","legal","Unknown"
"mvt_unspecified","legal","Unknown"
"natural_environmental","legal","Unknown"
"other_land_transport","legal","Unknown"
"other_specified","legal","Unknown"
"other_transport","legal","Unknown"
"overexertion","legal","Unknown"
"pedal_cyclist","legal","Unknown"
"pedestrian","legal","Unknown"
"poisoning","legal","Unknown"
"poisoning_drug","legal","Unknown"
"poisoning_nondrug","legal","Unknown"
"struck_by_against","legal","Unknown"
"suffocation","legal","Unknown"
"unspecified","legal","Unknown"
"any","undetermined","Unknown"
"bites_stings","undetermined","Unknown"
"cut_pierce","undetermined","Unknown"
"drowning","undetermined","Unknown"
"fall","undetermined","Unknown"
"fire_burn","undetermined","Unknown"
"firearm","undetermined","Unknown"
"machinery","undetermined","Unknown"
"motor_vehicle_nontraffic","undetermined","Unknown"
"motor_vehicle_traffic","undetermined","Unknown"
"mvt_motorcyclist","undetermined","Unknown"
"mvt_occupant","undetermined","Unknown"
"mvt_other","undetermined","Unknown"
"mvt_pedal_cyclist","undetermined","Unknown"
"mvt_pedestrian","undetermined","Unknown"
"mvt_unspecified","undetermined","Unknown"
"natural_environmental","undetermined","Unknown"
"other_land_transport","undetermined","Unknown"
"other_specified","undetermined","Unknown"
"other_transport","undetermined","Unknown"
"overexertion","undetermined","Unknown"
"pedal_cyclist","undetermined","Unknown"
"pedestrian","undetermined","Unknown"
"poisoning","undetermined","Unknown"
"poisoning_drug","undetermined","Unknown"
"poisoning_nondrug","undetermined","Unknown"
"struck_by_against","undetermined","Unknown"
"suffocation","undetermined","Unknown"
"unspecified","undetermined","Unknown"
"any","unintentional","Unknown"
"bites_stings","unintentional","Unknown"
"cut_pierce","unintentional","Unknown"
"drowning","unintentional","Unknown"
"fall","unintentional","Unknown"
"fire_burn","unintentional","Unknown"
"firearm","unintentional","Unknown"
"machinery","unintentional","Unknown"
"motor_vehicle_nontraffic","unintentional","Unknown"
"motor_vehicle_traffic","unintentional","Unknown"
"mvt_motorcyclist","unintentional","Unknown"
"mvt_occupant","unintentional","Unknown"
