"mechanism","intent","orig.coding","icd10"
"All injury","Unintentional","V01-X59, Y85, Y86","V010"
"All injury","Unintentional","V01-X59, Y85, Y86","V011"
"All injury","Unintentional","V01-X59, Y85, Y86","V012"
"All injury","Unintentional","V01-X59, Y85, Y86","V013"
"All injury","Unintentional","V01-X59, Y85, Y86","V014"
"All injury","Unintentional","V01-X59, Y85, Y86","V015"
"All injury","Unintentional","V01-X59, Y85, Y86","V016"
"All injury","Unintentional","V01-X59, Y85, Y86","V017"
"All injury","Unintentional","V01-X59, Y85, Y86","V018"
"All injury","Unintentional","V01-X59, Y85, Y86","V019"
"All injury","Unintentional","V01-X59, Y85, Y86","V020"
"All injury","Unintentional","V01-X59, Y85, Y86","V021"
"All injury","Unintentional","V01-X59, Y85, Y86","V022"
"All injury","Unintentional","V01-X59, Y85, Y86","V023"
"All injury","Unintentional","V01-X59, Y85, Y86","V024"
"All injury","Unintentional","V01-X59, Y85, Y86","V025"
"All injury","Unintentional","V01-X59, Y85, Y86","V026"
"All injury","Unintentional","V01-X59, Y85, Y86","V027"
"All injury","Unintentional","V01-X59, Y85, Y86","V028"
"All injury","Unintentional","V01-X59, Y85, Y86","V029"
"All injury","Unintentional","V01-X59, Y85, Y86","V030"
"All injury","Unintentional","V01-X59, Y85, Y86","V031"
"All injury","Unintentional","V01-X59, Y85, Y86","V032"
"All injury","Unintentional","V01-X59, Y85, Y86","V033"
"All injury","Unintentional","V01-X59, Y85, Y86","V034"
"All injury","Unintentional","V01-X59, Y85, Y86","V035"
"All injury","Unintentional","V01-X59, Y85, Y86","V036"
"All injury","Unintentional","V01-X59, Y85, Y86","V037"
"All injury","Unintentional","V01-X59, Y85, Y86","V038"
"All injury","Unintentional","V01-X59, Y85, Y86","V039"
"All injury","Unintentional","V01-X59, Y85, Y86","V040"
"All injury","Unintentional","V01-X59, Y85, Y86","V041"
"All injury","Unintentional","V01-X59, Y85, Y86","V042"
"All injury","Unintentional","V01-X59, Y85, Y86","V043"
"All injury","Unintentional","V01-X59, Y85, Y86","V044"
"All injury","Unintentional","V01-X59, Y85, Y86","V045"
"All injury","Unintentional","V01-X59, Y85, Y86","V046"
"All injury","Unintentional","V01-X59, Y85, Y86","V047"
"All injury","Unintentional","V01-X59, Y85, Y86","V048"
"All injury","Unintentional","V01-X59, Y85, Y86","V049"
"All injury","Unintentional","V01-X59, Y85, Y86","V050"
"All injury","Unintentional","V01-X59, Y85, Y86","V051"
"All injury","Unintentional","V01-X59, Y85, Y86","V052"
"All injury","Unintentional","V01-X59, Y85, Y86","V053"
"All injury","Unintentional","V01-X59, Y85, Y86","V054"
"All injury","Unintentional","V01-X59, Y85, Y86","V055"
"All injury","Unintentional","V01-X59, Y85, Y86","V056"
"All injury","Unintentional","V01-X59, Y85, Y86","V057"
"All injury","Unintentional","V01-X59, Y85, Y86","V058"
"All injury","Unintentional","V01-X59, Y85, Y86","V059"
"All injury","Unintentional","V01-X59, Y85, Y86","V060"
"All injury","Unintentional","V01-X59, Y85, Y86","V061"
"All injury","Unintentional","V01-X59, Y85, Y86","V062"
"All injury","Unintentional","V01-X59, Y85, Y86","V063"
"All injury","Unintentional","V01-X59, Y85, Y86","V064"
"All injury","Unintentional","V01-X59, Y85, Y86","V065"
"All injury","Unintentional","V01-X59, Y85, Y86","V066"
"All injury","Unintentional","V01-X59, Y85, Y86","V067"
"All injury","Unintentional","V01-X59, Y85, Y86","V068"
"All injury","Unintentional","V01-X59, Y85, Y86","V069"
"All injury","Unintentional","V01-X59, Y85, Y86","V070"
"All injury","Unintentional","V01-X59, Y85, Y86","V071"
"All injury","Unintentional","V01-X59, Y85, Y86","V072"
"All injury","Unintentional","V01-X59, Y85, Y86","V073"
"All injury","Unintentional","V01-X59, Y85, Y86","V074"
"All injury","Unintentional","V01-X59, Y85, Y86","V075"
"All injury","Unintentional","V01-X59, Y85, Y86","V076"
"All injury","Unintentional","V01-X59, Y85, Y86","V077"
"All injury","Unintentional","V01-X59, Y85, Y86","V078"
"All injury","Unintentional","V01-X59, Y85, Y86","V079"
"All injury","Unintentional","V01-X59, Y85, Y86","V080"
"All injury","Unintentional","V01-X59, Y85, Y86","V081"
"All injury","Unintentional","V01-X59, Y85, Y86","V082"
"All injury","Unintentional","V01-X59, Y85, Y86","V083"
"All injury","Unintentional","V01-X59, Y85, Y86","V084"
"All injury","Unintentional","V01-X59, Y85, Y86","V085"
"All injury","Unintentional","V01-X59, Y85, Y86","V086"
"All injury","Unintentional","V01-X59, Y85, Y86","V087"
"All injury","Unintentional","V01-X59, Y85, Y86","V088"
"All injury","Unintentional","V01-X59, Y85, Y86","V089"
"All injury","Unintentional","V01-X59, Y85, Y86","V090"
"All injury","Unintentional","V01-X59, Y85, Y86","V091"
"All injury","Unintentional","V01-X59, Y85, Y86","V092"
"All injury","Unintentional","V01-X59, Y85, Y86","V093"
"All injury","Unintentional","V01-X59, Y85, Y86","V094"
"All injury","Unintentional","V01-X59, Y85, Y86","V095"
"All injury","Unintentional","V01-X59, Y85, Y86","V096"
"All injury","Unintentional","V01-X59, Y85, Y86","V097"
"All injury","Unintentional","V01-X59, Y85, Y86","V098"
"All injury","Unintentional","V01-X59, Y85, Y86","V099"
"All injury","Unintentional","V01-X59, Y85, Y86","V100"
"All injury","Unintentional","V01-X59, Y85, Y86","V101"
"All injury","Unintentional","V01-X59, Y85, Y86","V102"
"All injury","Unintentional","V01-X59, Y85, Y86","V103"
