"cause_name","underlying_contributing","icd10"
"Opioid","underlying","X400"
"Opioid","underlying","X401"
"Opioid","underlying","X402"
"Opioid","underlying","X403"
"Opioid","underlying","X404"
"Opioid","underlying","X405"
"Opioid","underlying","X406"
"Opioid","underlying","X407"
"Opioid","underlying","X408"
"Opioid","underlying","X409"
"Opioid","underlying","X410"
"Opioid","underlying","X411"
"Opioid","underlying","X412"
"Opioid","underlying","X413"
"Opioid","underlying","X414"
"Opioid","underlying","X415"
"Opioid","underlying","X416"
"Opioid","underlying","X417"
"Opioid","underlying","X418"
"Opioid","underlying","X419"
"Opioid","underlying","X420"
"Opioid","underlying","X421"
"Opioid","underlying","X422"
"Opioid","underlying","X423"
"Opioid","underlying","X424"
"Opioid","underlying","X425"
"Opioid","underlying","X426"
"Opioid","underlying","X427"
"Opioid","underlying","X428"
"Opioid","underlying","X429"
"Opioid","underlying","X430"
"Opioid","underlying","X431"
"Opioid","underlying","X432"
"Opioid","underlying","X433"
"Opioid","underlying","X434"
"Opioid","underlying","X435"
"Opioid","underlying","X436"
"Opioid","underlying","X437"
"Opioid","underlying","X438"
"Opioid","underlying","X439"
"Opioid","underlying","X440"
"Opioid","underlying","X441"
"Opioid","underlying","X442"
"Opioid","underlying","X443"
"Opioid","underlying","X444"
"Opioid","underlying","X445"
"Opioid","underlying","X446"
"Opioid","underlying","X447"
"Opioid","underlying","X448"
"Opioid","underlying","X449"
"Opioid","underlying","X600"
"Opioid","underlying","X601"
"Opioid","underlying","X602"
"Opioid","underlying","X603"
"Opioid","underlying","X604"
"Opioid","underlying","X605"
"Opioid","underlying","X606"
"Opioid","underlying","X607"
"Opioid","underlying","X608"
"Opioid","underlying","X609"
"Opioid","underlying","X610"
"Opioid","underlying","X611"
"Opioid","underlying","X612"
"Opioid","underlying","X613"
"Opioid","underlying","X614"
"Opioid","underlying","X615"
"Opioid","underlying","X616"
"Opioid","underlying","X617"
"Opioid","underlying","X618"
"Opioid","underlying","X619"
"Opioid","underlying","X620"
"Opioid","underlying","X621"
"Opioid","underlying","X622"
"Opioid","underlying","X623"
"Opioid","underlying","X624"
"Opioid","underlying","X625"
"Opioid","underlying","X626"
"Opioid","underlying","X627"
"Opioid","underlying","X628"
"Opioid","underlying","X629"
"Opioid","underlying","X630"
"Opioid","underlying","X631"
"Opioid","underlying","X632"
"Opioid","underlying","X633"
"Opioid","underlying","X634"
"Opioid","underlying","X635"
"Opioid","underlying","X636"
"Opioid","underlying","X637"
"Opioid","underlying","X638"
"Opioid","underlying","X639"
"Opioid","underlying","X640"
"Opioid","underlying","X641"
"Opioid","underlying","X642"
"Opioid","underlying","X643"
"Opioid","underlying","X644"
"Opioid","underlying","X645"
"Opioid","underlying","X646"
"Opioid","underlying","X647"
"Opioid","underlying","X648"
"Opioid","underlying","X649"
"Opioid","underlying","X850"
"Opioid","underlying","X851"
"Opioid","underlying","X852"
"Opioid","underlying","X853"
"Opioid","underlying","X854"
"Opioid","underlying","X855"
"Opioid","underlying","X856"
"Opioid","underlying","X857"
"Opioid","underlying","X858"
"Opioid","underlying","X859"
"Opioid","underlying","Y100"
"Opioid","underlying","Y101"
"Opioid","underlying","Y102"
"Opioid","underlying","Y103"
"Opioid","underlying","Y104"
"Opioid","underlying","Y105"
"Opioid","underlying","Y106"
"Opioid","underlying","Y107"
"Opioid","underlying","Y108"
"Opioid","underlying","Y109"
"Opioid","underlying","Y110"
"Opioid","underlying","Y111"
"Opioid","underlying","Y112"
"Opioid","underlying","Y113"
"Opioid","underlying","Y114"
"Opioid","underlying","Y115"
"Opioid","underlying","Y116"
"Opioid","underlying","Y117"
"Opioid","underlying","Y118"
"Opioid","underlying","Y119"
"Opioid","underlying","Y120"
"Opioid","underlying","Y121"
"Opioid","underlying","Y122"
"Opioid","underlying","Y123"
"Opioid","underlying","Y124"
"Opioid","underlying","Y125"
"Opioid","underlying","Y126"
"Opioid","underlying","Y127"
"Opioid","underlying","Y128"
"Opioid","underlying","Y129"
"Opioid","underlying","Y130"
"Opioid","underlying","Y131"
"Opioid","underlying","Y132"
"Opioid","underlying","Y133"
"Opioid","underlying","Y134"
"Opioid","underlying","Y135"
"Opioid","underlying","Y136"
"Opioid","underlying","Y137"
"Opioid","underlying","Y138"
"Opioid","underlying","Y139"
"Opioid","underlying","Y140"
"Opioid","underlying","Y141"
"Opioid","underlying","Y142"
"Opioid","underlying","Y143"
"Opioid","underlying","Y144"
"Opioid","underlying","Y145"
"Opioid","underlying","Y146"
"Opioid","underlying","Y147"
"Opioid","underlying","Y148"
"Opioid","underlying","Y149"
"Opioid","contributing","T400"
"Opioid","contributing","T401"
"Opioid","contributing","T402"
"Opioid","contributing","T403"
"Opioid","contributing","T404"
"Opioid","contributing","T406"
"Psychostimulant","underlying","X400"
"Psychostimulant","underlying","X401"
"Psychostimulant","underlying","X402"
"Psychostimulant","underlying","X403"
"Psychostimulant","underlying","X404"
"Psychostimulant","underlying","X405"
"Psychostimulant","underlying","X406"
"Psychostimulant","underlying","X407"
"Psychostimulant","underlying","X408"
"Psychostimulant","underlying","X409"
"Psychostimulant","underlying","X410"
"Psychostimulant","underlying","X411"
"Psychostimulant","underlying","X412"
"Psychostimulant","underlying","X413"
"Psychostimulant","underlying","X414"
"Psychostimulant","underlying","X415"
"Psychostimulant","underlying","X416"
"Psychostimulant","underlying","X417"
"Psychostimulant","underlying","X418"
"Psychostimulant","underlying","X419"
"Psychostimulant","underlying","X420"
"Psychostimulant","underlying","X421"
"Psychostimulant","underlying","X422"
"Psychostimulant","underlying","X423"
"Psychostimulant","underlying","X424"
"Psychostimulant","underlying","X425"
"Psychostimulant","underlying","X426"
"Psychostimulant","underlying","X427"
"Psychostimulant","underlying","X428"
"Psychostimulant","underlying","X429"
"Psychostimulant","underlying","X430"
"Psychostimulant","underlying","X431"
"Psychostimulant","underlying","X432"
"Psychostimulant","underlying","X433"
"Psychostimulant","underlying","X434"
"Psychostimulant","underlying","X435"
"Psychostimulant","underlying","X436"
"Psychostimulant","underlying","X437"
"Psychostimulant","underlying","X438"
"Psychostimulant","underlying","X439"
"Psychostimulant","underlying","X440"
"Psychostimulant","underlying","X441"
"Psychostimulant","underlying","X442"
"Psychostimulant","underlying","X443"
"Psychostimulant","underlying","X444"
"Psychostimulant","underlying","X445"
"Psychostimulant","underlying","X446"
"Psychostimulant","underlying","X447"
"Psychostimulant","underlying","X448"
"Psychostimulant","underlying","X449"
"Psychostimulant","underlying","X600"
"Psychostimulant","underlying","X601"
"Psychostimulant","underlying","X602"
"Psychostimulant","underlying","X603"
"Psychostimulant","underlying","X604"
"Psychostimulant","underlying","X605"
"Psychostimulant","underlying","X606"
"Psychostimulant","underlying","X607"
"Psychostimulant","underlying","X608"
"Psychostimulant","underlying","X609"
"Psychostimulant","underlying","X610"
"Psychostimulant","underlying","X611"
"Psychostimulant","underlying","X612"
"Psychostimulant","underlying","X613"
"Psychostimulant","underlying","X614"
"Psychostimulant","underlying","X615"
"Psychostimulant","underlying","X616"
"Psychostimulant","underlying","X617"
"Psychostimulant","underlying","X618"
"Psychostimulant","underlying","X619"
"Psychostimulant","underlying","X620"
"Psychostimulant","underlying","X621"
"Psychostimulant","underlying","X622"
"Psychostimulant","underlying","X623"
"Psychostimulant","underlying","X624"
"Psychostimulant","underlying","X625"
"Psychostimulant","underlying","X626"
"Psychostimulant","underlying","X627"
"Psychostimulant","underlying","X628"
"Psychostimulant","underlying","X629"
"Psychostimulant","underlying","X630"
"Psychostimulant","underlying","X631"
"Psychostimulant","underlying","X632"
"Psychostimulant","underlying","X633"
"Psychostimulant","underlying","X634"
"Psychostimulant","underlying","X635"
"Psychostimulant","underlying","X636"
"Psychostimulant","underlying","X637"
"Psychostimulant","underlying","X638"
"Psychostimulant","underlying","X639"
"Psychostimulant","underlying","X640"
"Psychostimulant","underlying","X641"
"Psychostimulant","underlying","X642"
"Psychostimulant","underlying","X643"
"Psychostimulant","underlying","X644"
"Psychostimulant","underlying","X645"
"Psychostimulant","underlying","X646"
"Psychostimulant","underlying","X647"
"Psychostimulant","underlying","X648"
"Psychostimulant","underlying","X649"
"Psychostimulant","underlying","X850"
"Psychostimulant","underlying","X851"
"Psychostimulant","underlying","X852"
"Psychostimulant","underlying","X853"
"Psychostimulant","underlying","X854"
"Psychostimulant","underlying","X855"
"Psychostimulant","underlying","X856"
"Psychostimulant","underlying","X857"
"Psychostimulant","underlying","X858"
"Psychostimulant","underlying","X859"
"Psychostimulant","underlying","Y100"
"Psychostimulant","underlying","Y101"
"Psychostimulant","underlying","Y102"
"Psychostimulant","underlying","Y103"
"Psychostimulant","underlying","Y104"
"Psychostimulant","underlying","Y105"
"Psychostimulant","underlying","Y106"
"Psychostimulant","underlying","Y107"
"Psychostimulant","underlying","Y108"
"Psychostimulant","underlying","Y109"
"Psychostimulant","underlying","Y110"
"Psychostimulant","underlying","Y111"
"Psychostimulant","underlying","Y112"
"Psychostimulant","underlying","Y113"
"Psychostimulant","underlying","Y114"
"Psychostimulant","underlying","Y115"
"Psychostimulant","underlying","Y116"
"Psychostimulant","underlying","Y117"
"Psychostimulant","underlying","Y118"
"Psychostimulant","underlying","Y119"
"Psychostimulant","underlying","Y120"
"Psychostimulant","underlying","Y121"
"Psychostimulant","underlying","Y122"
"Psychostimulant","underlying","Y123"
"Psychostimulant","underlying","Y124"
"Psychostimulant","underlying","Y125"
"Psychostimulant","underlying","Y126"
"Psychostimulant","underlying","Y127"
"Psychostimulant","underlying","Y128"
"Psychostimulant","underlying","Y129"
"Psychostimulant","underlying","Y130"
"Psychostimulant","underlying","Y131"
"Psychostimulant","underlying","Y132"
"Psychostimulant","underlying","Y133"
"Psychostimulant","underlying","Y134"
"Psychostimulant","underlying","Y135"
"Psychostimulant","underlying","Y136"
"Psychostimulant","underlying","Y137"
"Psychostimulant","underlying","Y138"
"Psychostimulant","underlying","Y139"
"Psychostimulant","underlying","Y140"
"Psychostimulant","underlying","Y141"
"Psychostimulant","underlying","Y142"
"Psychostimulant","underlying","Y143"
"Psychostimulant","underlying","Y144"
"Psychostimulant","underlying","Y145"
"Psychostimulant","underlying","Y146"
"Psychostimulant","underlying","Y147"
"Psychostimulant","underlying","Y148"
"Psychostimulant","underlying","Y149"
"Psychostimulant","contributing","T405"
"Psychostimulant","contributing","T436"
