"causeid","cause.of.death","icd10","uploaded"
1,"Salmonella infections","A01",2022-02-02
1,"Salmonella infections","A02",2022-02-02
2,"Shigellosis and amebiasis","A03",2022-02-02
2,"Shigellosis and amebiasis","A06",2022-02-02
3,"Certain other intestinal infections","A04",2022-02-02
3,"Certain other intestinal infections","A07",2022-02-02
3,"Certain other intestinal infections","A08",2022-02-02
3,"Certain other intestinal infections","A09",2022-02-02
4,"Respiratory tuberculosis","A16",2022-02-02
5,"Other tuberculosis","A17",2022-02-02
5,"Other tuberculosis","A18",2022-02-02
5,"Other tuberculosis","A19",2022-02-02
6,"Whooping cough","A37",2022-02-02
7,"Scarlet fever and erysipelas","A38",2022-02-02
7,"Scarlet fever and erysipelas","A46",2022-02-02
8,"Meningococcal infection","A39",2022-02-02
9,"Septicemia","A40",2022-02-02
9,"Septicemia","A41",2022-02-02
10,"Syphilis","A50",2022-02-02
10,"Syphilis","A51",2022-02-02
10,"Syphilis","A52",2022-02-02
10,"Syphilis","A53",2022-02-02
11,"Acute poliomyelitis","A80",2022-02-02
12,"Arthropod-borne viral encephalitis","A83",2022-02-02
12,"Arthropod-borne viral encephalitis","A84",2022-02-02
12,"Arthropod-borne viral encephalitis","A852",2022-02-02
13,"Measles","B05",2022-02-02
14,"Viral hepatitis","B15",2022-02-02
14,"Viral hepatitis","B16",2022-02-02
14,"Viral hepatitis","B17",2022-02-02
14,"Viral hepatitis","B18",2022-02-02
14,"Viral hepatitis","B19",2022-02-02
15,"Human immunodeficiency virus (HIV) disease","B20",2022-02-02
15,"Human immunodeficiency virus (HIV) disease","B21",2022-02-02
15,"Human immunodeficiency virus (HIV) disease","B22",2022-02-02
15,"Human immunodeficiency virus (HIV) disease","B23",2022-02-02
15,"Human immunodeficiency virus (HIV) disease","B24",2022-02-02
16,"Malaria","B50",2022-02-02
16,"Malaria","B51",2022-02-02
16,"Malaria","B52",2022-02-02
16,"Malaria","B53",2022-02-02
16,"Malaria","B54",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A00",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A05",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A20",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A21",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A22",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A23",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A24",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A25",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A26",2022-02-02
17,"Other and unspecified infectious and parasitic diseases and their sequelae","A27",2022-02-02
