causeid,cause.of.death,icd10,leading.cause.group.num,leading.cause.group,leading.cause.group.alias,level1,level2,level3,level4
1,Salmonella infections,A01-A02,1,Salmonella infections,Salmonella infections,Infectious and Parasitic Disease,Salmonella infections,,
2,Shigellosis and amebiasis,"A03, A06",2,Shigellosis and amebiasis,Shigellosis and amebiasis,Infectious and Parasitic Disease,Shigellosis and amebiasis,,
3,Certain other intestinal infections,"A04, A07-A09",3,Certain other intestinal infections,Certain other intestinal infections,Infectious and Parasitic Disease,Certain other intestinal infections,,
4,Respiratory tuberculosis,A16,4,Tuberculosis,Tuberculosis,Infectious and Parasitic Disease,Tuberculosis,Respiratory tuberculosis,
5,Other tuberculosis,A17-A19,4,Tuberculosis,Tuberculosis,Infectious and Parasitic Disease,Tuberculosis,Other tuberculosis,
6,Whooping cough,A37,5,Whooping cough,Whooping cough,Infectious and Parasitic Disease,Whooping cough,,
7,Scarlet fever and erysipelas,"A38, A46",6,Scarlet fever and erysipelas,Scarlet fever and erysipelas,Infectious and Parasitic Disease,Scarlet fever and erysipelas,,
8,Meningococcal infection,A39,7,Meningococcal infection,Meningococcal infection,Infectious and Parasitic Disease,Meningococcal infection,,
9,Septicemia,A40-A41,8,Septicemia,Septicemia,Infectious and Parasitic Disease,Septicemia,,
10,Syphilis,A50-A53,9,Syphilis,Syphilis,Infectious and Parasitic Disease,Syphilis,,
11,Acute poliomyelitis,A80,10,Acute poliomyelitis,Acute poliomyelitis,Infectious and Parasitic Disease,Acute poliomyelitis,,
12,Arthropod-borne viral encephalitis,"A83-A84, A85.2",11,Arthropod-borne viral encephalitis,Arthropod-borne viral encephalitis,Infectious and Parasitic Disease,Arthropod-borne viral encephalitis,,
13,Measles,B05,12,Measles,Measles,Infectious and Parasitic Disease,Measles,,
14,Viral hepatitis,B15-B19,13,Viral hepatitis,Viral hepatitis,Infectious and Parasitic Disease,Viral hepatitis,,
15,Human immunodeficiency virus (HIV) disease,B20-B24,14,Human immunodeficiency virus (HIV) disease,HIV disease,Infectious and Parasitic Disease,Human immunodeficiency virus (HIV) disease,,
16,Malaria,B50-B54,15,Malaria,Malaria,Infectious and Parasitic Disease,Malaria,,
