"causeid","cause.of.death","icd10","orig.coding"
1,"Certain intestinal infectious diseases","A000","A00-A08"
1,"Certain intestinal infectious diseases","A001","A00-A08"
1,"Certain intestinal infectious diseases","A002","A00-A08"
1,"Certain intestinal infectious diseases","A003","A00-A08"
1,"Certain intestinal infectious diseases","A004","A00-A08"
1,"Certain intestinal infectious diseases","A005","A00-A08"
1,"Certain intestinal infectious diseases","A006","A00-A08"
1,"Certain intestinal infectious diseases","A007","A00-A08"
1,"Certain intestinal infectious diseases","A008","A00-A08"
1,"Certain intestinal infectious diseases","A009","A00-A08"
1,"Certain intestinal infectious diseases","A010","A00-A08"
1,"Certain intestinal infectious diseases","A011","A00-A08"
1,"Certain intestinal infectious diseases","A012","A00-A08"
1,"Certain intestinal infectious diseases","A013","A00-A08"
1,"Certain intestinal infectious diseases","A014","A00-A08"
1,"Certain intestinal infectious diseases","A015","A00-A08"
1,"Certain intestinal infectious diseases","A016","A00-A08"
1,"Certain intestinal infectious diseases","A017","A00-A08"
1,"Certain intestinal infectious diseases","A018","A00-A08"
1,"Certain intestinal infectious diseases","A019","A00-A08"
1,"Certain intestinal infectious diseases","A020","A00-A08"
1,"Certain intestinal infectious diseases","A021","A00-A08"
1,"Certain intestinal infectious diseases","A022","A00-A08"
1,"Certain intestinal infectious diseases","A023","A00-A08"
1,"Certain intestinal infectious diseases","A024","A00-A08"
1,"Certain intestinal infectious diseases","A025","A00-A08"
1,"Certain intestinal infectious diseases","A026","A00-A08"
1,"Certain intestinal infectious diseases","A027","A00-A08"
1,"Certain intestinal infectious diseases","A028","A00-A08"
1,"Certain intestinal infectious diseases","A029","A00-A08"
1,"Certain intestinal infectious diseases","A030","A00-A08"
1,"Certain intestinal infectious diseases","A031","A00-A08"
1,"Certain intestinal infectious diseases","A032","A00-A08"
1,"Certain intestinal infectious diseases","A033","A00-A08"
1,"Certain intestinal infectious diseases","A034","A00-A08"
1,"Certain intestinal infectious diseases","A035","A00-A08"
1,"Certain intestinal infectious diseases","A036","A00-A08"
1,"Certain intestinal infectious diseases","A037","A00-A08"
1,"Certain intestinal infectious diseases","A038","A00-A08"
1,"Certain intestinal infectious diseases","A039","A00-A08"
1,"Certain intestinal infectious diseases","A040","A00-A08"
1,"Certain intestinal infectious diseases","A041","A00-A08"
1,"Certain intestinal infectious diseases","A042","A00-A08"
1,"Certain intestinal infectious diseases","A043","A00-A08"
1,"Certain intestinal infectious diseases","A044","A00-A08"
1,"Certain intestinal infectious diseases","A045","A00-A08"
1,"Certain intestinal infectious diseases","A046","A00-A08"
