"cat","varname","group","keepme","notes","creation_date"
"King County","chi_geo_kc","King County","Yes",NA,"2025-01-22"
"Washington State","wastate","Washington State","Yes",NA,"2025-01-22"
"Age","age4","Adults","Yes","ACS uninsured, from tables","2025-01-22"
"Age","age4","All","Yes","ACS uninsured, from tables","2025-01-22"
"Age","age4","Children","Yes","ACS uninsured, from tables","2025-01-22"
"Age","age4","Seniors","Yes","ACS uninsured, from tables","2025-01-22"
"Age","age5_v1","18-24","Yes",NA,"2025-01-22"
"Age","age5_v1","25-44","Yes",NA,"2025-01-22"
"Age","age5_v1","45-64","Yes",NA,"2025-01-22"
"Age","age5_v1","65+","Yes",NA,"2025-01-22"
"Age","age5_v1","<18","Yes",NA,"2025-01-22"
"Age","age5_v2","18-24","Yes",NA,"2025-01-22"
"Age","age5_v2","25-44","Yes",NA,"2025-01-22"
"Age","age5_v2","45-64","Yes",NA,"2025-01-22"
"Age","age5_v2","65-74","Yes",NA,"2025-01-22"
"Age","age5_v2","75+","Yes",NA,"2025-01-22"
"Age","age6","18-24","Yes",NA,"2025-01-22"
"Age","age6","25-44","Yes",NA,"2025-01-22"
"Age","age6","45-64","Yes",NA,"2025-01-22"
"Age","age6","65-74","Yes",NA,"2025-01-22"
"Age","age6","75+","Yes",NA,"2025-01-22"
"Age","age6","<18","Yes",NA,"2025-01-22"
"Age","age6_v2","18-24","Yes",NA,"2025-01-22"
"Age","age6_v2","25-44","Yes",NA,"2025-01-22"
"Age","age6_v2","45-64","Yes",NA,"2025-01-22"
"Age","age6_v2","65-74","Yes",NA,"2025-01-22"
"Age","age6_v2","75+","Yes",NA,"2025-01-22"
"Age","age6_v2","8-17","Yes",NA,"2025-01-22"
"Age","age6_v3","0-12","Yes",NA,"2025-01-22"
"Age","age6_v3","13-17","Yes",NA,"2025-01-22"
"Age","age6_v3","18-24","Yes",NA,"2025-01-22"
"Age","age6_v3","25-44","Yes",NA,"2025-01-22"
"Age","age6_v3","45-64","Yes",NA,"2025-01-22"
"Age","age6_v3","65+","Yes",NA,"2025-01-22"
"Age","ageedu","25-44","Yes","ACS only (LTBA, LTHS)","2025-01-22"
"Age","ageedu","45-64","Yes","ACS only (LTBA, LTHS)","2025-01-22"
"Age","ageedu","65-74","Yes","ACS only (LTBA, LTHS)","2025-01-22"
"Age","ageedu","75+","Yes","ACS only (LTBA, LTHS)","2025-01-22"
"Age","ageinsur","19-25","Yes","ACS uninsured, from tables","2025-01-22"
"Age","ageinsur","26-34","Yes","ACS uninsured, from tables","2025-01-22"
