"group","code","major","minor","broad","detailed","title","major.title","minor.title","broad.title","detailed.title","notes","uploaded"
"Major","11-0000","11-0000",NA,NA,NA,"Management Occupations","Management Occupations",NA,NA,NA,"Downloaded 2020-11-09, final structure for BLS 2010 SOC",2022-02-02
"Minor","11-1000","11-0000","11-1000",NA,NA,"Top Executives","Management Occupations","Top Executives",NA,NA,NA,2022-02-02
"Broad","11-1010","11-0000","11-1000","11-1010",NA,"Chief Executives","Management Occupations","Top Executives","Chief Executives",NA,NA,2022-02-02
"Detailed","11-1011","11-0000","11-1000","11-1010","11-1011","Chief Executives","Management Occupations","Top Executives","Chief Executives","Chief Executives",NA,2022-02-02
"Broad","11-1020","11-0000","11-1000","11-1020",NA,"General and Operations Managers","Management Occupations","Top Executives","General and Operations Managers",NA,NA,2022-02-02
"Detailed","11-1021","11-0000","11-1000","11-1020","11-1021","General and Operations Managers","Management Occupations","Top Executives","General and Operations Managers","General and Operations Managers",NA,2022-02-02
"Broad","11-1030","11-0000","11-1000","11-1030",NA,"Legislators","Management Occupations","Top Executives","Legislators",NA,NA,2022-02-02
"Detailed","11-1031","11-0000","11-1000","11-1030","11-1031","Legislators","Management Occupations","Top Executives","Legislators","Legislators",NA,2022-02-02
"Minor","11-2000","11-0000","11-2000",NA,NA,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Management Occupations","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",NA,NA,NA,2022-02-02
"Broad","11-2010","11-0000","11-2000","11-2010",NA,"Advertising and Promotions Managers","Management Occupations","Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Advertising and Promotions Managers",NA,NA,2022-02-02
"Detailed","11-2011","11-0000","11-2000","11-2010","11-2011","Advertising and Promotions Managers","Management Occupations","Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Advertising and Promotions Managers","Advertising and Promotions Managers",NA,2022-02-02
"Broad","11-2020","11-0000","11-2000","11-2020",NA,"Marketing and Sales Managers","Management Occupations","Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Marketing and Sales Managers",NA,NA,2022-02-02
"Detailed","11-2021","11-0000","11-2000","11-2020","11-2021","Marketing Managers","Management Occupations","Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Marketing and Sales Managers","Marketing Managers",NA,2022-02-02
"Detailed","11-2022","11-0000","11-2000","11-2020","11-2022","Sales Managers","Management Occupations","Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Marketing and Sales Managers","Sales Managers",NA,2022-02-02
"Broad","11-2030","11-0000","11-2000","11-2030",NA,"Public Relations and Fundraising Managers","Management Occupations","Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Public Relations and Fundraising Managers",NA,NA,2022-02-02
"Detailed","11-2031","11-0000","11-2000","11-2030","11-2031","Public Relations and Fundraising Managers","Management Occupations","Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Public Relations and Fundraising Managers","Public Relations and Fundraising Managers",NA,2022-02-02
"Minor","11-3000","11-0000","11-3000",NA,NA,"Operations Specialties Managers","Management Occupations","Operations Specialties Managers",NA,NA,NA,2022-02-02
"Broad","11-3010","11-0000","11-3000","11-3010",NA,"Administrative Services Managers","Management Occupations","Operations Specialties Managers","Administrative Services Managers",NA,NA,2022-02-02
"Detailed","11-3011","11-0000","11-3000","11-3010","11-3011","Administrative Services Managers","Management Occupations","Operations Specialties Managers","Administrative Services Managers","Administrative Services Managers",NA,2022-02-02
"Broad","11-3020","11-0000","11-3000","11-3020",NA,"Computer and Information Systems Managers","Management Occupations","Operations Specialties Managers","Computer and Information Systems Managers",NA,NA,2022-02-02
"Detailed","11-3021","11-0000","11-3000","11-3020","11-3021","Computer and Information Systems Managers","Management Occupations","Operations Specialties Managers","Computer and Information Systems Managers","Computer and Information Systems Managers",NA,2022-02-02
"Broad","11-3030","11-0000","11-3000","11-3030",NA,"Financial Managers","Management Occupations","Operations Specialties Managers","Financial Managers",NA,NA,2022-02-02
"Detailed","11-3031","11-0000","11-3000","11-3030","11-3031","Financial Managers","Management Occupations","Operations Specialties Managers","Financial Managers","Financial Managers",NA,2022-02-02
"Broad","11-3050","11-0000","11-3000","11-3050",NA,"Industrial Production Managers","Management Occupations","Operations Specialties Managers","Industrial Production Managers",NA,NA,2022-02-02
"Detailed","11-3051","11-0000","11-3000","11-3050","11-3051","Industrial Production Managers","Management Occupations","Operations Specialties Managers","Industrial Production Managers","Industrial Production Managers",NA,2022-02-02
"Broad","11-3060","11-0000","11-3000","11-3060",NA,"Purchasing Managers","Management Occupations","Operations Specialties Managers","Purchasing Managers",NA,NA,2022-02-02
"Detailed","11-3061","11-0000","11-3000","11-3060","11-3061","Purchasing Managers","Management Occupations","Operations Specialties Managers","Purchasing Managers","Purchasing Managers",NA,2022-02-02
"Broad","11-3070","11-0000","11-3000","11-3070",NA,"Transportation, Storage, and Distribution Managers","Management Occupations","Operations Specialties Managers","Transportation, Storage, and Distribution Managers",NA,NA,2022-02-02
"Detailed","11-3071","11-0000","11-3000","11-3070","11-3071","Transportation, Storage, and Distribution Managers","Management Occupations","Operations Specialties Managers","Transportation, Storage, and Distribution Managers","Transportation, Storage, and Distribution Managers",NA,2022-02-02
"Broad","11-3110","11-0000","11-3000","11-3110",NA,"Compensation and Benefits Managers","Management Occupations","Operations Specialties Managers","Compensation and Benefits Managers",NA,NA,2022-02-02
"Detailed","11-3111","11-0000","11-3000","11-3110","11-3111","Compensation and Benefits Managers","Management Occupations","Operations Specialties Managers","Compensation and Benefits Managers","Compensation and Benefits Managers",NA,2022-02-02
"Broad","11-3120","11-0000","11-3000","11-3120",NA,"Human Resources Managers","Management Occupations","Operations Specialties Managers","Human Resources Managers",NA,NA,2022-02-02
"Detailed","11-3121","11-0000","11-3000","11-3120","11-3121","Human Resources Managers","Management Occupations","Operations Specialties Managers","Human Resources Managers","Human Resources Managers",NA,2022-02-02
"Broad","11-3130","11-0000","11-3000","11-3130",NA,"Training and Development Managers","Management Occupations","Operations Specialties Managers","Training and Development Managers",NA,NA,2022-02-02
"Detailed","11-3131","11-0000","11-3000","11-3130","11-3131","Training and Development Managers","Management Occupations","Operations Specialties Managers","Training and Development Managers","Training and Development Managers",NA,2022-02-02
"Minor","11-9000","11-0000","11-9000",NA,NA,"Other Management Occupations","Management Occupations","Other Management Occupations",NA,NA,NA,2022-02-02
"Broad","11-9010","11-0000","11-9000","11-9010",NA,"Farmers, Ranchers, and Other Agricultural Managers","Management Occupations","Other Management Occupations","Farmers, Ranchers, and Other Agricultural Managers",NA,NA,2022-02-02
"Detailed","11-9013","11-0000","11-9000","11-9010","11-9013","Farmers, Ranchers, and Other Agricultural Managers","Management Occupations","Other Management Occupations","Farmers, Ranchers, and Other Agricultural Managers","Farmers, Ranchers, and Other Agricultural Managers",NA,2022-02-02
"Broad","11-9020","11-0000","11-9000","11-9020",NA,"Construction Managers","Management Occupations","Other Management Occupations","Construction Managers",NA,NA,2022-02-02
"Detailed","11-9021","11-0000","11-9000","11-9020","11-9021","Construction Managers","Management Occupations","Other Management Occupations","Construction Managers","Construction Managers",NA,2022-02-02
"Broad","11-9030","11-0000","11-9000","11-9030",NA,"Education Administrators","Management Occupations","Other Management Occupations","Education Administrators",NA,NA,2022-02-02
"Detailed","11-9031","11-0000","11-9000","11-9030","11-9031","Education Administrators, Preschool and Childcare Center/Program","Management Occupations","Other Management Occupations","Education Administrators","Education Administrators, Preschool and Childcare Center/Program",NA,2022-02-02
"Detailed","11-9032","11-0000","11-9000","11-9030","11-9032","Education Administrators, Elementary and Secondary School","Management Occupations","Other Management Occupations","Education Administrators","Education Administrators, Elementary and Secondary School",NA,2022-02-02
"Detailed","11-9033","11-0000","11-9000","11-9030","11-9033","Education Administrators, Postsecondary","Management Occupations","Other Management Occupations","Education Administrators","Education Administrators, Postsecondary",NA,2022-02-02
"Detailed","11-9039","11-0000","11-9000","11-9030","11-9039","Education Administrators, All Other","Management Occupations","Other Management Occupations","Education Administrators","Education Administrators, All Other",NA,2022-02-02
"Broad","11-9040","11-0000","11-9000","11-9040",NA,"Architectural and Engineering Managers","Management Occupations","Other Management Occupations","Architectural and Engineering Managers",NA,NA,2022-02-02
"Detailed","11-9041","11-0000","11-9000","11-9040","11-9041","Architectural and Engineering Managers","Management Occupations","Other Management Occupations","Architectural and Engineering Managers","Architectural and Engineering Managers",NA,2022-02-02
"Broad","11-9050","11-0000","11-9000","11-9050",NA,"Food Service Managers","Management Occupations","Other Management Occupations","Food Service Managers",NA,NA,2022-02-02
"Detailed","11-9051","11-0000","11-9000","11-9050","11-9051","Food Service Managers","Management Occupations","Other Management Occupations","Food Service Managers","Food Service Managers",NA,2022-02-02
"Broad","11-9060","11-0000","11-9000","11-9060",NA,"Funeral Service Managers","Management Occupations","Other Management Occupations","Funeral Service Managers",NA,NA,2022-02-02
"Detailed","11-9061","11-0000","11-9000","11-9060","11-9061","Funeral Service Managers","Management Occupations","Other Management Occupations","Funeral Service Managers","Funeral Service Managers",NA,2022-02-02
"Broad","11-9070","11-0000","11-9000","11-9070",NA,"Gaming Managers","Management Occupations","Other Management Occupations","Gaming Managers",NA,NA,2022-02-02
"Detailed","11-9071","11-0000","11-9000","11-9070","11-9071","Gaming Managers","Management Occupations","Other Management Occupations","Gaming Managers","Gaming Managers",NA,2022-02-02
"Broad","11-9080","11-0000","11-9000","11-9080",NA,"Lodging Managers","Management Occupations","Other Management Occupations","Lodging Managers",NA,NA,2022-02-02
"Detailed","11-9081","11-0000","11-9000","11-9080","11-9081","Lodging Managers","Management Occupations","Other Management Occupations","Lodging Managers","Lodging Managers",NA,2022-02-02
"Broad","11-9110","11-0000","11-9000","11-9110",NA,"Medical and Health Services Managers","Management Occupations","Other Management Occupations","Medical and Health Services Managers",NA,NA,2022-02-02
"Detailed","11-9111","11-0000","11-9000","11-9110","11-9111","Medical and Health Services Managers","Management Occupations","Other Management Occupations","Medical and Health Services Managers","Medical and Health Services Managers",NA,2022-02-02
"Broad","11-9120","11-0000","11-9000","11-9120",NA,"Natural Sciences Managers","Management Occupations","Other Management Occupations","Natural Sciences Managers",NA,NA,2022-02-02
"Detailed","11-9121","11-0000","11-9000","11-9120","11-9121","Natural Sciences Managers","Management Occupations","Other Management Occupations","Natural Sciences Managers","Natural Sciences Managers",NA,2022-02-02
"Broad","11-9130","11-0000","11-9000","11-9130",NA,"Postmasters and Mail Superintendents","Management Occupations","Other Management Occupations","Postmasters and Mail Superintendents",NA,NA,2022-02-02
"Detailed","11-9131","11-0000","11-9000","11-9130","11-9131","Postmasters and Mail Superintendents","Management Occupations","Other Management Occupations","Postmasters and Mail Superintendents","Postmasters and Mail Superintendents",NA,2022-02-02
"Broad","11-9140","11-0000","11-9000","11-9140",NA,"Property, Real Estate, and Community Association Managers","Management Occupations","Other Management Occupations","Property, Real Estate, and Community Association Managers",NA,NA,2022-02-02
"Detailed","11-9141","11-0000","11-9000","11-9140","11-9141","Property, Real Estate, and Community Association Managers","Management Occupations","Other Management Occupations","Property, Real Estate, and Community Association Managers","Property, Real Estate, and Community Association Managers",NA,2022-02-02
"Broad","11-9150","11-0000","11-9000","11-9150",NA,"Social and Community Service Managers","Management Occupations","Other Management Occupations","Social and Community Service Managers",NA,NA,2022-02-02
"Detailed","11-9151","11-0000","11-9000","11-9150","11-9151","Social and Community Service Managers","Management Occupations","Other Management Occupations","Social and Community Service Managers","Social and Community Service Managers",NA,2022-02-02
"Broad","11-9160","11-0000","11-9000","11-9160",NA,"Emergency Management Directors","Management Occupations","Other Management Occupations","Emergency Management Directors",NA,NA,2022-02-02
"Detailed","11-9161","11-0000","11-9000","11-9160","11-9161","Emergency Management Directors","Management Occupations","Other Management Occupations","Emergency Management Directors","Emergency Management Directors",NA,2022-02-02
"Broad","11-9190","11-0000","11-9000","11-9190",NA,"Miscellaneous Managers","Management Occupations","Other Management Occupations","Miscellaneous Managers",NA,NA,2022-02-02
"Detailed","11-9199","11-0000","11-9000","11-9190","11-9199","Managers, All Other","Management Occupations","Other Management Occupations","Miscellaneous Managers","Managers, All Other",NA,2022-02-02
"Major","13-0000","13-0000",NA,NA,NA,"Business and Financial Operations Occupations","Business and Financial Operations Occupations",NA,NA,NA,NA,2022-02-02
"Minor","13-1000","13-0000","13-1000",NA,NA,"Business Operations Specialists","Business and Financial Operations Occupations","Business Operations Specialists",NA,NA,NA,2022-02-02
"Broad","13-1010","13-0000","13-1000","13-1010",NA,"Agents and Business Managers of Artists, Performers, and Athletes","Business and Financial Operations Occupations","Business Operations Specialists","Agents and Business Managers of Artists, Performers, and Athletes",NA,NA,2022-02-02
"Detailed","13-1011","13-0000","13-1000","13-1010","13-1011","Agents and Business Managers of Artists, Performers, and Athletes","Business and Financial Operations Occupations","Business Operations Specialists","Agents and Business Managers of Artists, Performers, and Athletes","Agents and Business Managers of Artists, Performers, and Athletes",NA,2022-02-02
"Broad","13-1020","13-0000","13-1000","13-1020",NA,"Buyers and Purchasing Agents","Business and Financial Operations Occupations","Business Operations Specialists","Buyers and Purchasing Agents",NA,NA,2022-02-02
"Detailed","13-1021","13-0000","13-1000","13-1020","13-1021","Buyers and Purchasing Agents, Farm Products","Business and Financial Operations Occupations","Business Operations Specialists","Buyers and Purchasing Agents","Buyers and Purchasing Agents, Farm Products",NA,2022-02-02
"Detailed","13-1022","13-0000","13-1000","13-1020","13-1022","Wholesale and Retail Buyers, Except Farm Products","Business and Financial Operations Occupations","Business Operations Specialists","Buyers and Purchasing Agents","Wholesale and Retail Buyers, Except Farm Products",NA,2022-02-02
"Detailed","13-1023","13-0000","13-1000","13-1020","13-1023","Purchasing Agents, Except Wholesale, Retail, and Farm Products","Business and Financial Operations Occupations","Business Operations Specialists","Buyers and Purchasing Agents","Purchasing Agents, Except Wholesale, Retail, and Farm Products",NA,2022-02-02
"Broad","13-1030","13-0000","13-1000","13-1030",NA,"Claims Adjusters, Appraisers, Examiners, and Investigators","Business and Financial Operations Occupations","Business Operations Specialists","Claims Adjusters, Appraisers, Examiners, and Investigators",NA,NA,2022-02-02
"Detailed","13-1031","13-0000","13-1000","13-1030","13-1031","Claims Adjusters, Examiners, and Investigators","Business and Financial Operations Occupations","Business Operations Specialists","Claims Adjusters, Appraisers, Examiners, and Investigators","Claims Adjusters, Examiners, and Investigators",NA,2022-02-02
"Detailed","13-1032","13-0000","13-1000","13-1030","13-1032","Insurance Appraisers, Auto Damage","Business and Financial Operations Occupations","Business Operations Specialists","Claims Adjusters, Appraisers, Examiners, and Investigators","Insurance Appraisers, Auto Damage",NA,2022-02-02
"Broad","13-1040","13-0000","13-1000","13-1040",NA,"Compliance Officers","Business and Financial Operations Occupations","Business Operations Specialists","Compliance Officers",NA,NA,2022-02-02
"Detailed","13-1041","13-0000","13-1000","13-1040","13-1041","Compliance Officers","Business and Financial Operations Occupations","Business Operations Specialists","Compliance Officers","Compliance Officers",NA,2022-02-02
"Broad","13-1050","13-0000","13-1000","13-1050",NA,"Cost Estimators","Business and Financial Operations Occupations","Business Operations Specialists","Cost Estimators",NA,NA,2022-02-02
"Detailed","13-1051","13-0000","13-1000","13-1050","13-1051","Cost Estimators","Business and Financial Operations Occupations","Business Operations Specialists","Cost Estimators","Cost Estimators",NA,2022-02-02
"Broad","13-1070","13-0000","13-1000","13-1070",NA,"Human Resources Workers","Business and Financial Operations Occupations","Business Operations Specialists","Human Resources Workers",NA,NA,2022-02-02
"Detailed","13-1071","13-0000","13-1000","13-1070","13-1071","Human Resources Specialists","Business and Financial Operations Occupations","Business Operations Specialists","Human Resources Workers","Human Resources Specialists",NA,2022-02-02
"Detailed","13-1074","13-0000","13-1000","13-1070","13-1074","Farm Labor Contractors","Business and Financial Operations Occupations","Business Operations Specialists","Human Resources Workers","Farm Labor Contractors",NA,2022-02-02
"Detailed","13-1075","13-0000","13-1000","13-1070","13-1075","Labor Relations Specialists","Business and Financial Operations Occupations","Business Operations Specialists","Human Resources Workers","Labor Relations Specialists",NA,2022-02-02
"Broad","13-1080","13-0000","13-1000","13-1080",NA,"Logisticians","Business and Financial Operations Occupations","Business Operations Specialists","Logisticians",NA,NA,2022-02-02
"Detailed","13-1081","13-0000","13-1000","13-1080","13-1081","Logisticians","Business and Financial Operations Occupations","Business Operations Specialists","Logisticians","Logisticians",NA,2022-02-02
"Broad","13-1110","13-0000","13-1000","13-1110",NA,"Management Analysts","Business and Financial Operations Occupations","Business Operations Specialists","Management Analysts",NA,NA,2022-02-02
"Detailed","13-1111","13-0000","13-1000","13-1110","13-1111","Management Analysts","Business and Financial Operations Occupations","Business Operations Specialists","Management Analysts","Management Analysts",NA,2022-02-02
"Broad","13-1120","13-0000","13-1000","13-1120",NA,"Meeting, Convention, and Event Planners","Business and Financial Operations Occupations","Business Operations Specialists","Meeting, Convention, and Event Planners",NA,NA,2022-02-02
"Detailed","13-1121","13-0000","13-1000","13-1120","13-1121","Meeting, Convention, and Event Planners","Business and Financial Operations Occupations","Business Operations Specialists","Meeting, Convention, and Event Planners","Meeting, Convention, and Event Planners",NA,2022-02-02
"Broad","13-1130","13-0000","13-1000","13-1130",NA,"Fundraisers","Business and Financial Operations Occupations","Business Operations Specialists","Fundraisers",NA,NA,2022-02-02
"Detailed","13-1131","13-0000","13-1000","13-1130","13-1131","Fundraisers","Business and Financial Operations Occupations","Business Operations Specialists","Fundraisers","Fundraisers",NA,2022-02-02
"Broad","13-1140","13-0000","13-1000","13-1140",NA,"Compensation, Benefits, and Job Analysis Specialists","Business and Financial Operations Occupations","Business Operations Specialists","Compensation, Benefits, and Job Analysis Specialists",NA,NA,2022-02-02
"Detailed","13-1141","13-0000","13-1000","13-1140","13-1141","Compensation, Benefits, and Job Analysis Specialists","Business and Financial Operations Occupations","Business Operations Specialists","Compensation, Benefits, and Job Analysis Specialists","Compensation, Benefits, and Job Analysis Specialists",NA,2022-02-02
"Broad","13-1150","13-0000","13-1000","13-1150",NA,"Training and Development Specialists","Business and Financial Operations Occupations","Business Operations Specialists","Training and Development Specialists",NA,NA,2022-02-02
"Detailed","13-1151","13-0000","13-1000","13-1150","13-1151","Training and Development Specialists","Business and Financial Operations Occupations","Business Operations Specialists","Training and Development Specialists","Training and Development Specialists",NA,2022-02-02
"Broad","13-1160","13-0000","13-1000","13-1160",NA,"Market Research Analysts and Marketing Specialists","Business and Financial Operations Occupations","Business Operations Specialists","Market Research Analysts and Marketing Specialists",NA,NA,2022-02-02
"Detailed","13-1161","13-0000","13-1000","13-1160","13-1161","Market Research Analysts and Marketing Specialists","Business and Financial Operations Occupations","Business Operations Specialists","Market Research Analysts and Marketing Specialists","Market Research Analysts and Marketing Specialists",NA,2022-02-02
"Broad","13-1190","13-0000","13-1000","13-1190",NA,"Miscellaneous Business Operations Specialists","Business and Financial Operations Occupations","Business Operations Specialists","Miscellaneous Business Operations Specialists",NA,NA,2022-02-02
"Detailed","13-1199","13-0000","13-1000","13-1190","13-1199","Business Operations Specialists, All Other","Business and Financial Operations Occupations","Business Operations Specialists","Miscellaneous Business Operations Specialists","Business Operations Specialists, All Other",NA,2022-02-02
"Minor","13-2000","13-0000","13-2000",NA,NA,"Financial Specialists","Business and Financial Operations Occupations","Financial Specialists",NA,NA,NA,2022-02-02
"Broad","13-2010","13-0000","13-2000","13-2010",NA,"Accountants and Auditors","Business and Financial Operations Occupations","Financial Specialists","Accountants and Auditors",NA,NA,2022-02-02
"Detailed","13-2011","13-0000","13-2000","13-2010","13-2011","Accountants and Auditors","Business and Financial Operations Occupations","Financial Specialists","Accountants and Auditors","Accountants and Auditors",NA,2022-02-02
"Broad","13-2020","13-0000","13-2000","13-2020",NA,"Appraisers and Assessors of Real Estate","Business and Financial Operations Occupations","Financial Specialists","Appraisers and Assessors of Real Estate",NA,NA,2022-02-02
"Detailed","13-2021","13-0000","13-2000","13-2020","13-2021","Appraisers and Assessors of Real Estate","Business and Financial Operations Occupations","Financial Specialists","Appraisers and Assessors of Real Estate","Appraisers and Assessors of Real Estate",NA,2022-02-02
"Broad","13-2030","13-0000","13-2000","13-2030",NA,"Budget Analysts","Business and Financial Operations Occupations","Financial Specialists","Budget Analysts",NA,NA,2022-02-02
"Detailed","13-2031","13-0000","13-2000","13-2030","13-2031","Budget Analysts","Business and Financial Operations Occupations","Financial Specialists","Budget Analysts","Budget Analysts",NA,2022-02-02
"Broad","13-2040","13-0000","13-2000","13-2040",NA,"Credit Analysts","Business and Financial Operations Occupations","Financial Specialists","Credit Analysts",NA,NA,2022-02-02
"Detailed","13-2041","13-0000","13-2000","13-2040","13-2041","Credit Analysts","Business and Financial Operations Occupations","Financial Specialists","Credit Analysts","Credit Analysts",NA,2022-02-02
