"group","code","major","minor","broad","detailed","title","major.title","minor.title","broad.title","detailed.title","uploaded"
"Major","11-0000","11-0000",NA,NA,NA,"Management Occupations","Management Occupations",NA,NA,NA,2022-02-02
"Minor","11-1000","11-0000","11-1000",NA,NA,"Top Executives","Management Occupations","Top Executives",NA,NA,2022-02-02
"Broad","11-1010","11-0000","11-1000","11-1010",NA,"Chief Executives","Management Occupations","Top Executives","Chief Executives",NA,2022-02-02
"Detailed","11-1011","11-0000","11-1000","11-1010","11-1011","Chief Executives","Management Occupations","Top Executives","Chief Executives","Chief Executives",2022-02-02
"Broad","11-1020","11-0000","11-1000","11-1020",NA,"General and Operations Managers","Management Occupations","Top Executives","General and Operations Managers",NA,2022-02-02
"Detailed","11-1021","11-0000","11-1000","11-1020","11-1021","General and Operations Managers","Management Occupations","Top Executives","General and Operations Managers","General and Operations Managers",2022-02-02
"Broad","11-1030","11-0000","11-1000","11-1030",NA,"Legislators","Management Occupations","Top Executives","Legislators",NA,2022-02-02
"Detailed","11-1031","11-0000","11-1000","11-1030","11-1031","Legislators","Management Occupations","Top Executives","Legislators","Legislators",2022-02-02
"Minor","11-2000","11-0000","11-2000",NA,NA,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Management Occupations","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",NA,NA,2022-02-02
"Broad","11-2010","11-0000","11-2000","11-2010",NA,"Advertising and Promotions Managers","Management Occupations","Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Advertising and Promotions Managers",NA,2022-02-02
"Detailed","11-2011","11-0000","11-2000","11-2010","11-2011","Advertising and Promotions Managers","Management Occupations","Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Advertising and Promotions Managers","Advertising and Promotions Managers",2022-02-02
"Broad","11-2020","11-0000","11-2000","11-2020",NA,"Marketing and Sales Managers","Management Occupations","Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Marketing and Sales Managers",NA,2022-02-02
"Detailed","11-2021","11-0000","11-2000","11-2020","11-2021","Marketing Managers","Management Occupations","Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Marketing and Sales Managers","Marketing Managers",2022-02-02
"Detailed","11-2022","11-0000","11-2000","11-2020","11-2022","Sales Managers","Management Occupations","Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Marketing and Sales Managers","Sales Managers",2022-02-02
"Broad","11-2030","11-0000","11-2000","11-2030",NA,"Public Relations and Fundraising Managers","Management Occupations","Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Public Relations and Fundraising Managers",NA,2022-02-02
"Detailed","11-2032","11-0000","11-2000","11-2030","11-2032","Public Relations Managers","Management Occupations","Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Public Relations and Fundraising Managers","Public Relations Managers",2022-02-02
"Detailed","11-2033","11-0000","11-2000","11-2030","11-2033","Fundraising Managers","Management Occupations","Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Public Relations and Fundraising Managers","Fundraising Managers",2022-02-02
"Minor","11-3000","11-0000","11-3000",NA,NA,"Operations Specialties Managers","Management Occupations","Operations Specialties Managers",NA,NA,2022-02-02
"Broad","11-3010","11-0000","11-3000","11-3010",NA,"Administrative Services and Facilities Managers","Management Occupations","Operations Specialties Managers","Administrative Services and Facilities Managers",NA,2022-02-02
"Detailed","11-3012","11-0000","11-3000","11-3010","11-3012","Administrative Services Managers","Management Occupations","Operations Specialties Managers","Administrative Services and Facilities Managers","Administrative Services Managers",2022-02-02
"Detailed","11-3013","11-0000","11-3000","11-3010","11-3013","Facilities Managers","Management Occupations","Operations Specialties Managers","Administrative Services and Facilities Managers","Facilities Managers",2022-02-02
"Broad","11-3020","11-0000","11-3000","11-3020",NA,"Computer and Information Systems Managers","Management Occupations","Operations Specialties Managers","Computer and Information Systems Managers",NA,2022-02-02
"Detailed","11-3021","11-0000","11-3000","11-3020","11-3021","Computer and Information Systems Managers","Management Occupations","Operations Specialties Managers","Computer and Information Systems Managers","Computer and Information Systems Managers",2022-02-02
"Broad","11-3030","11-0000","11-3000","11-3030",NA,"Financial Managers","Management Occupations","Operations Specialties Managers","Financial Managers",NA,2022-02-02
"Detailed","11-3031","11-0000","11-3000","11-3030","11-3031","Financial Managers","Management Occupations","Operations Specialties Managers","Financial Managers","Financial Managers",2022-02-02
