"standard","agecat","age_start","age_end","pop","source"
"2000 U.S. Std Population (11 age groups)","0",0,0,3795000,"https://www.cdc.gov/nchs/data/statnt/statnt20.pdf, Table 2, Distribution 1"
"2000 U.S. Std Population (11 age groups)","1-4 years",1,4,15192000,"https://www.cdc.gov/nchs/data/statnt/statnt20.pdf, Table 2, Distribution 1"
"2000 U.S. Std Population (11 age groups)","5-14 years",5,14,39977000,"https://www.cdc.gov/nchs/data/statnt/statnt20.pdf, Table 2, Distribution 1"
"2000 U.S. Std Population (11 age groups)","15-24 years",15,24,38077000,"https://www.cdc.gov/nchs/data/statnt/statnt20.pdf, Table 2, Distribution 1"
"2000 U.S. Std Population (11 age groups)","25-34 years",25,34,37233000,"https://www.cdc.gov/nchs/data/statnt/statnt20.pdf, Table 2, Distribution 1"
"2000 U.S. Std Population (11 age groups)","35-44 years",35,44,44659000,"https://www.cdc.gov/nchs/data/statnt/statnt20.pdf, Table 2, Distribution 1"
"2000 U.S. Std Population (11 age groups)","45-54 years",45,54,37030000,"https://www.cdc.gov/nchs/data/statnt/statnt20.pdf, Table 2, Distribution 1"
"2000 U.S. Std Population (11 age groups)","55-64 years",55,64,23961000,"https://www.cdc.gov/nchs/data/statnt/statnt20.pdf, Table 2, Distribution 1"
"2000 U.S. Std Population (11 age groups)","65-74 years",65,74,18136000,"https://www.cdc.gov/nchs/data/statnt/statnt20.pdf, Table 2, Distribution 1"
"2000 U.S. Std Population (11 age groups)","75-84 years",75,84,12315000,"https://www.cdc.gov/nchs/data/statnt/statnt20.pdf, Table 2, Distribution 1"
"2000 U.S. Std Population (11 age groups)","85+ years",85,120,4259000,"https://www.cdc.gov/nchs/data/statnt/statnt20.pdf, Table 2, Distribution 1"
