"standard","agecat","age_start","age_end","pop","source"
"World (WHO 2000-2025) Std Million (single ages to 99)","0 years",0,0,17917,"2019-11-14; https://seer.cancer.gov/stdpopulations"
"2000 U.S. Std Population (single ages to 99 - Census P25-1130)","0 years",0,0,3794901,"2019-11-14; https://seer.cancer.gov/stdpopulations"
"World (WHO 2000-2025) Std Million (single ages to 99)","1 years",1,1,17802,"2019-11-14; https://seer.cancer.gov/stdpopulations"
"2000 U.S. Std Population (single ages to 99 - Census P25-1130)","1 years",1,1,3758562,"2019-11-14; https://seer.cancer.gov/stdpopulations"
"World (WHO 2000-2025) Std Million (single ages to 99)","2 years",2,2,17701,"2019-11-14; https://seer.cancer.gov/stdpopulations"
"2000 U.S. Std Population (single ages to 99 - Census P25-1130)","2 years",2,2,3773025,"2019-11-14; https://seer.cancer.gov/stdpopulations"
"World (WHO 2000-2025) Std Million (single ages to 99)","3 years",3,3,17613,"2019-11-14; https://seer.cancer.gov/stdpopulations"
"2000 U.S. Std Population (single ages to 99 - Census P25-1130)","3 years",3,3,3791001,"2019-11-14; https://seer.cancer.gov/stdpopulations"
"World (WHO 2000-2025) Std Million (single ages to 99)","4 years",4,4,17536,"2019-11-14; https://seer.cancer.gov/stdpopulations"
"2000 U.S. Std Population (single ages to 99 - Census P25-1130)","4 years",4,4,3869031,"2019-11-14; https://seer.cancer.gov/stdpopulations"
"World (WHO 2000-2025) Std Million (single ages to 99)","5 years",5,5,17470,"2019-11-14; https://seer.cancer.gov/stdpopulations"
"2000 U.S. Std Population (single ages to 99 - Census P25-1130)","5 years",5,5,3896081,"2019-11-14; https://seer.cancer.gov/stdpopulations"
"World (WHO 2000-2025) Std Million (single ages to 99)","6 years",6,6,17414,"2019-11-14; https://seer.cancer.gov/stdpopulations"
"2000 U.S. Std Population (single ages to 99 - Census P25-1130)","6 years",6,6,3917855,"2019-11-14; https://seer.cancer.gov/stdpopulations"
"World (WHO 2000-2025) Std Million (single ages to 99)","7 years",7,7,17366,"2019-11-14; https://seer.cancer.gov/stdpopulations"
"2000 U.S. Std Population (single ages to 99 - Census P25-1130)","7 years",7,7,3978143,"2019-11-14; https://seer.cancer.gov/stdpopulations"
"World (WHO 2000-2025) Std Million (single ages to 99)","8 years",8,8,17327,"2019-11-14; https://seer.cancer.gov/stdpopulations"
"2000 U.S. Std Population (single ages to 99 - Census P25-1130)","8 years",8,8,3903983,"2019-11-14; https://seer.cancer.gov/stdpopulations"
"World (WHO 2000-2025) Std Million (single ages to 99)","9 years",9,9,17293,"2019-11-14; https://seer.cancer.gov/stdpopulations"
"2000 U.S. Std Population (single ages to 99 - Census P25-1130)","9 years",9,9,4223778,"2019-11-14; https://seer.cancer.gov/stdpopulations"
"World (WHO 2000-2025) Std Million (single ages to 99)","10 years",10,10,17263,"2019-11-14; https://seer.cancer.gov/stdpopulations"
