"geoid","name","tract","kccd","sea_ccd","uploaded"
"14000US53033000100","Census Tract 1, King County, Washington",100,1,5,2022-02-02
"14000US53033000200","Census Tract 2, King County, Washington",200,1,5,2022-02-02
"14000US53033000300","Census Tract 3, King County, Washington",300,4,5,2022-02-02
"14000US53033000401","Census Tract 4.01, King County, Washington",401,4,5,2022-02-02
"14000US53033000402","Census Tract 4.02, King County, Washington",402,4,5,2022-02-02
"14000US53033000500","Census Tract 5, King County, Washington",500,4,5,2022-02-02
"14000US53033000600","Census Tract 6, King County, Washington",600,4,5,2022-02-02
"14000US53033000700","Census Tract 7, King County, Washington",700,1,5,2022-02-02
"14000US53033000800","Census Tract 8, King County, Washington",800,1,5,2022-02-02
"14000US53033000900","Census Tract 9, King County, Washington",900,1,5,2022-02-02
"14000US53033001000","Census Tract 10, King County, Washington",1000,1,5,2022-02-02
"14000US53033001100","Census Tract 11, King County, Washington",1100,1,5,2022-02-02
"14000US53033001200","Census Tract 12, King County, Washington",1200,1,5,2022-02-02
"14000US53033001300","Census Tract 13, King County, Washington",1300,4,5,2022-02-02
"14000US53033001400","Census Tract 14, King County, Washington",1400,4,5,2022-02-02
"14000US53033001500","Census Tract 15, King County, Washington",1500,4,6,2022-02-02
"14000US53033001600","Census Tract 16, King County, Washington",1600,4,6,2022-02-02
"14000US53033001701","Census Tract 17.01, King County, Washington",1701,4,5,2022-02-02
"14000US53033001702","Census Tract 17.02, King County, Washington",1702,4,6,2022-02-02
"14000US53033001800","Census Tract 18, King County, Washington",1800,4,5,2022-02-02
"14000US53033001900","Census Tract 19, King County, Washington",1900,1,5,2022-02-02
"14000US53033002000","Census Tract 20, King County, Washington",2000,1,5,2022-02-02
"14000US53033002100","Census Tract 21, King County, Washington",2100,1,5,2022-02-02
"14000US53033002200","Census Tract 22, King County, Washington",2200,1,4,2022-02-02
"14000US53033002400","Census Tract 24, King County, Washington",2400,1,4,2022-02-02
"14000US53033002500","Census Tract 25, King County, Washington",2500,1,4,2022-02-02
"14000US53033002600","Census Tract 26, King County, Washington",2600,1,4,2022-02-02
"14000US53033002700","Census Tract 27, King County, Washington",2700,4,4,2022-02-02
"14000US53033002800","Census Tract 28, King County, Washington",2800,4,6,2022-02-02
"14000US53033002900","Census Tract 29, King County, Washington",2900,4,6,2022-02-02
"14000US53033003000","Census Tract 30, King County, Washington",3000,4,6,2022-02-02
