geo_county_name,geo_county_code_fips,geo_county_fips_long,geo_county_code_order,geo_county_code_gnis,geo_county_code_tiger,geo_county_code_aff
Adams,001,53001,1,1531601,53001,0500000US53001
Asotin,003,53003,2,1533502,53003,0500000US53003
Benton,005,53005,3,1513302,53005,0500000US53005
Chelan,007,53007,4,1531932,53007,0500000US53007
Clallam,009,53009,5,1531341,53009,0500000US53009
Clark,011,53011,6,1531820,53011,0500000US53011
Columbia,013,53013,7,1513273,53013,0500000US53013
Cowlitz,015,53015,8,1529156,53015,0500000US53015
Douglas,017,53017,9,1531818,53017,0500000US53017
Ferry,019,53019,10,1531821,53019,0500000US53019
Franklin,021,53021,11,1531822,53021,0500000US53021
Garfield,023,53023,12,1533500,53023,0500000US53023
Grant,025,53025,13,1531924,53025,0500000US53025
Grays Harbor,027,53027,14,1531823,53027,0500000US53027
Island,029,53029,15,1513272,53029,0500000US53029
Jefferson,031,53031,16,1531936,53031,0500000US53031
King,033,53033,17,1531933,53033,0500000US53033
Kitsap,035,53035,18,1529223,53035,0500000US53035
Kittitas,037,53037,19,1531926,53037,0500000US53037
Klickitat,039,53039,20,1529219,53039,0500000US53039
Lewis,041,53041,21,1531927,53041,0500000US53041
Lincoln,043,53043,22,1514052,53043,0500000US53043
Mason,045,53045,23,1529221,53045,0500000US53045
Okanogan,047,53047,24,1531928,53047,0500000US53047
Pacific,049,53049,25,1513274,53049,0500000US53049
Pend Oreille,051,53051,26,1529157,53051,0500000US53051
Pierce,053,53053,27,1529159,53053,0500000US53053
San Juan,055,53055,28,1531931,53055,0500000US53055
Skagit,057,53057,29,1531402,53057,0500000US53057
Skamania,059,53059,30,1529220,53059,0500000US53059
Snohomish,061,53061,31,1529222,53061,0500000US53061
Spokane,063,53063,32,1529225,53063,0500000US53063
Stevens,065,53065,33,1531930,53065,0500000US53065
Thurston,067,53067,34,1529226,53067,0500000US53067
Wahkiakum,069,53069,35,1513275,53069,0500000US53069
Walla Walla,071,53071,36,1531819,53071,0500000US53071
Whatcom,073,53073,37,1529224,53073,0500000US53073
Whitman,075,53075,38,1533501,53075,0500000US53075
Yakima,077,53077,39,1531929,53077,0500000US53077
