"cou_id","geo_year","cou_name","cou_code","fips_co"
"53001","2010","Adams","01","01"
"53003","2010","Asotin","02","03"
"53005","2010","Benton","03","05"
"53007","2010","Chelan","04","07"
"53009","2010","Clallam","05","09"
"53011","2010","Clark","06","11"
"53013","2010","Columbia","07","13"
"53015","2010","Cowlitz","08","15"
"53017","2010","Douglas","09","17"
"53019","2010","Ferry","10","19"
"53021","2010","Franklin","11","21"
"53023","2010","Garfield","12","23"
"53025","2010","Grant","13","25"
"53027","2010","Grays Harbor","14","27"
"53029","2010","Island","15","29"
"53031","2010","Jefferson","16","31"
"53033","2010","King","17","33"
"53035","2010","Kitsap","18","35"
"53037","2010","Kittitas","19","37"
"53039","2010","Klickitat","20","39"
"53041","2010","Lewis","21","41"
"53043","2010","Lincoln","22","43"
"53045","2010","Mason","23","45"
"53047","2010","Okanogan","24","47"
"53049","2010","Pacific","25","49"
"53051","2010","Pend Oreille","26","51"
"53053","2010","Pierce","27","53"
"53055","2010","San Juan","28","55"
"53057","2010","Skagit","29","57"
"53059","2010","Skamania","30","59"
"53061","2010","Snohomish","31","61"
"53063","2010","Spokane","32","63"
"53065","2010","Stevens","33","65"
"53067","2010","Thurston","34","67"
"53069","2010","Wahkiakum","35","69"
"53071","2010","Walla Walla","36","71"
"53073","2010","Whatcom","37","73"
"53075","2010","Whitman","38","75"
"53077","2010","Yakima","39","77"
