"hra20_id","hra20_name","place20","tract20","bg20","creation_date"
1,"Enumclaw, Black Diamond, and Southeast King County","5306330",NA,NA,2023-03-15
1,"Enumclaw, Black Diamond, and Southeast King County","5322045",NA,NA,2023-03-15
1,"Enumclaw, Black Diamond, and Southeast King County","5337345",NA,NA,2023-03-15
1,"Enumclaw, Black Diamond, and Southeast King County","5337567",NA,NA,2023-03-15
1,"Enumclaw, Black Diamond, and Southeast King County",NA,"53033031202",NA,2023-03-15
1,"Enumclaw, Black Diamond, and Southeast King County",NA,"53033031301",NA,2023-03-15
1,"Enumclaw, Black Diamond, and Southeast King County",NA,"53033031302",NA,2023-03-15
1,"Enumclaw, Black Diamond, and Southeast King County",NA,"53033031605",NA,2023-03-15
1,"Enumclaw, Black Diamond, and Southeast King County",NA,NA,"530330312043",2023-03-15
1,"Enumclaw, Black Diamond, and Southeast King County",NA,NA,"530330315013",2023-03-15
1,"Enumclaw, Black Diamond, and Southeast King County",NA,NA,"530330315021",2023-03-15
1,"Enumclaw, Black Diamond, and Southeast King County",NA,NA,"530330315022",2023-03-15
1,"Enumclaw, Black Diamond, and Southeast King County",NA,NA,"530330315023",2023-03-15
1,"Enumclaw, Black Diamond, and Southeast King County",NA,NA,"530330316033",2023-03-15
2,"Auburn - South",NA,"53033030700",NA,2023-03-15
2,"Auburn - South",NA,"53033030801",NA,2023-03-15
2,"Auburn - South",NA,"53033030802",NA,2023-03-15
2,"Auburn - South",NA,"53033031000",NA,2023-03-15
2,"Auburn - South",NA,"53033031102",NA,2023-03-15
2,"Auburn - South",NA,NA,"530330311011",2023-03-15
2,"Auburn - South",NA,NA,"530330311012",2023-03-15
3,"Federal Way - Dash Point and Southern Rim",NA,"53033030304",NA,2023-03-15
3,"Federal Way - Dash Point and Southern Rim",NA,"53033030306",NA,2023-03-15
3,"Federal Way - Dash Point and Southern Rim",NA,"53033030310",NA,2023-03-15
3,"Federal Way - Dash Point and Southern Rim",NA,"53033030312",NA,2023-03-15
3,"Federal Way - Dash Point and Southern Rim",NA,"53033030407",NA,2023-03-15
3,"Federal Way - Dash Point and Southern Rim",NA,NA,"530330303051",2023-03-15
3,"Federal Way - Dash Point and Southern Rim",NA,NA,"530330303053",2023-03-15
3,"Federal Way - Dash Point and Southern Rim",NA,NA,"530330303092",2023-03-15
3,"Federal Way - Dash Point and Southern Rim",NA,NA,"530330303093",2023-03-15
3,"Federal Way - Dash Point and Southern Rim",NA,NA,"530330303111",2023-03-15
