"cat1_group","cat1_group_alias","uploaded"
"Auburn-North","Auburn-North",2022-02-02
"Auburn-South","Auburn-South",2022-02-02
"Ballard","Ballard",2022-02-02
"Beacon/Gtown/S.Park","Beacon Hill/Georgetown/South Park",2022-02-02
"Bear Creek/Carnation/Duvall","Bear Creek/Carnation/Duvall",2022-02-02
"Bellevue-Central","Bellevue-Central",2022-02-02
"Bellevue-NE","Bellevue-Northeast",2022-02-02
"Bellevue-South","Bellevue-South",2022-02-02
"Bellevue-West","Bellevue-West",2022-02-02
"Black Diamond/Enumclaw/SE County","Black Diamond/Enumclaw/Southeast County",2022-02-02
"Bothell/Woodinville","Bothell/Woodinville",2022-02-02
"Burien","Burien",2022-02-02
"Capitol Hill/E.lake","Capitol Hill/Eastlake",2022-02-02
"Central Seattle","Central Seattle",2022-02-02
"Covington/Maple Valley","Covington/Maple Valley",2022-02-02
"Delridge","Delridge",2022-02-02
"Des Moines/Normandy Park","Des Moines/Normandy Park",2022-02-02
"Downtown","Downtown",2022-02-02
"East Federal Way","East Federal Way",2022-02-02
"Fairwood","Fairwood",2022-02-02
"Fed Way-Central/Military Rd","Federal Way-Central/Military Rd",2022-02-02
"Fed Way-Dash Pt","Federal Way-Dash Point/Woodmont",2022-02-02
"Fremont/Greenlake","Fremont/Greenlake",2022-02-02
"Issaquah","Issaquah",2022-02-02
"Kenmore/LFP","Kenmore/Lake Forest Park",2022-02-02
"Kent-East","Kent-East",2022-02-02
"Kent-SE","Kent-Southeast",2022-02-02
"Kent-West","Kent-West",2022-02-02
"Kirkland","Kirkland",2022-02-02
"Kirkland North","Kirkland North",2022-02-02
"Mercer Isle/Pt Cities","Mercer Island/Point Cities",2022-02-02
"NE Seattle","Northeast Seattle",2022-02-02
"Newcastle/Four Creeks","Newcastle/Four Creeks",2022-02-02
"North Highline","North Highline",2022-02-02
"North Seattle","North Seattle",2022-02-02
"NW Seattle","Northwest Seattle",2022-02-02
"QA/Magnolia","Queen Anne/Magnolia",2022-02-02
"Redmond","Redmond",2022-02-02
"Renton-East","Renton-East",2022-02-02
"Renton-North","Renton-North",2022-02-02
"Renton-South","Renton-South",2022-02-02
"Sammamish","Sammamish",2022-02-02
"SE Seattle","Southeast Seattle",2022-02-02
"SeaTac/Tukwila","SeaTac/Tukwila",2022-02-02
"Shoreline","Shoreline",2022-02-02
"Snoqualmie/North Bend/Skykomish","Snoqualmie/North Bend/Skykomish",2022-02-02
"Vashon Island","Vashon Island",2022-02-02
"West Seattle","West Seattle",2022-02-02
