school_district,geo_id,region,region_id
Northshore,5305910,North,2
Shoreline,5307920,North,2
Bellevue,5300390,East,1
Issaquah,5303750,East,1
Lake Washington,5304230,East,1
Mercer Island,5304980,East,1
Riverview,5304560,East,1
Skykomish,5307980,East,1
Snoqualmie Valley ,5308040,East,1
Auburn,5300300,South,4
Enumclaw,5300001,South,4
Federal Way,5302820,South,4
Highline,5303540,South,4
Kent,5303960,South,4
Renton,5307230,South,4
Tahoma,5308760,South,4
Tukwila,5308130,South,4
Vashon Island ,5309300,South,4
Seattle ,5307710,Seattle,3
