"hra_id","hra_name","reg_id","reg_nm"
1,"Enumclaw, Black Diamond, and Southeast King County",4,"South"
2,"Auburn - South",4,"South"
3,"Federal Way - Dash Point and Southern Rim",4,"South"
4,"Lakeland, Algona, Pacific, and Milton",4,"South"
5,"Auburn - North",4,"South"
6,"Federal Way - Central",4,"South"
7,"Federal Way - North Corridor",4,"South"
8,"East Highlands, Hobart, and Greater Maple Valley",4,"South"
9,"Kent - South",4,"South"
10,"Maple Valley",4,"South"
11,"Covington",4,"South"
12,"Kent - Central",4,"South"
13,"Kent - West",4,"South"
14,"Kent - East",4,"South"
15,"Des Moines and Normandy Park",4,"South"
16,"Vashon",4,"South"
17,"Fairwood",4,"South"
18,"Seatac",4,"South"
19,"Renton - South",4,"South"
20,"Burien",4,"South"
21,"Tukwila",4,"South"
22,"Newcastle and Four Creeks",1,"East"
23,"Renton - North",4,"South"
24,"Skyway",4,"South"
25,"Snoqualmie and North Bend",1,"East"
26,"North Highline and White Center",4,"South"
27,"Seattle - Delridge",3,"Seattle"
28,"Issaquah",1,"East"
29,"Seattle - Rainier Valley and Rainier Beach",3,"Seattle"
30,"Seattle - South Beacon Hill, Georgetown, and South Park",3,"Seattle"
31,"Bellevue - South",1,"East"
32,"Seattle - West Seattle",3,"Seattle"
33,"Mercer Island and Point Cities",1,"East"
34,"Seattle - CD, CID, Judkins, and North Beacon Hill",3,"Seattle"
35,"Bellevue - West",1,"East"
36,"Bellevue - Central",1,"East"
37,"Sammamish",1,"East"
38,"Duvall, Carnation, Skykomish, and Northeast King County",1,"East"
39,"Seattle - Downtown, Belltown, and First Hill",3,"Seattle"
40,"Bellevue - Northeast",1,"East"
41,"Montlake, Madison Park, and Madrona",3,"Seattle"
42,"Seattle - Capitol Hill",3,"Seattle"
43,"Seattle - South Lake Union, Cascade, and Eastlake",3,"Seattle"
44,"Seattle - Queen Anne",3,"Seattle"
45,"Magnolia and Interbay",3,"Seattle"
46,"Fremont and Wallingford",3,"Seattle"
47,"Seattle - University District",3,"Seattle"
48,"Redmond - South",1,"East"
49,"Seattle - Laurelhurst, Sand Point, and Wedgwood",3,"Seattle"
50,"Seattle - Ravenna and Bryant",3,"Seattle"
51,"Kirkland - South",1,"East"
52,"Green Lake and Phinney Ridge",3,"Seattle"
53,"Redmond - North",1,"East"
54,"Bear Creek and Greater Sammamish",1,"East"
55,"Seattle - Ballard",3,"Seattle"
56,"Seattle - Northgate and Lake City",3,"Seattle"
57,"Kirkland - North",1,"East"
58,"Seattle - Broadview, Haller Lake, and Licton Springs",3,"Seattle"
59,"Kenmore and Lake Forest Park",2,"North"
60,"Bothell and Woodinville",2,"North"
61,"Shoreline",2,"North"
