"ZIP","hra_id","s2t_fraction","isect_amount","tcoverage_amount","target_amount","hra_name","source_id","target_id","method","creation_date"
98010,1,0.949699364791721,7388.0361256372,48134.7913829444,48134.7913829444,"Enumclaw, Black Diamond, and Southeast King County",98010,1,"point population",2023-03-13
98022,1,0.999924753836491,23034.6130043857,48134.7913829444,48134.7913829444,"Enumclaw, Black Diamond, and Southeast King County",98022,1,"point population",2023-03-13
98038,1,0.00087749890827909,32.6974730821839,48134.7913829444,48134.7913829444,"Enumclaw, Black Diamond, and Southeast King County",98038,1,"point population",2023-03-13
98042,1,0.188084966644705,9429.31888845011,48134.7913829444,48134.7913829444,"Enumclaw, Black Diamond, and Southeast King County",98042,1,"point population",2023-03-13
98051,1,0.0334633347219746,122.852053142616,48134.7913829444,48134.7913829444,"Enumclaw, Black Diamond, and Southeast King County",98051,1,"point population",2023-03-13
98092,1,0.202792545379928,8127.27383824722,48134.7913829444,48134.7913829444,"Enumclaw, Black Diamond, and Southeast King County",98092,1,"point population",2023-03-13
98001,2,0.0113625895540873,424.708968183766,30564.737450909,30564.737450909,"Auburn - South",98001,2,"point population",2023-03-13
98002,2,0.513808526127111,19905.7032617745,30564.737450909,30564.737450909,"Auburn - South",98002,2,"point population",2023-03-13
98092,2,0.255367901107934,10234.3252209508,30564.737450909,30564.737450909,"Auburn - South",98092,2,"point population",2023-03-13
98001,3,0.085030173367032,3178.24357056078,35833.7137720499,35833.7137720499,"Federal Way - Dash Point and Southern Rim",98001,3,"point population",2023-03-13
98003,3,0.137557368516759,7233.58224751603,35833.7137720499,35833.7137720499,"Federal Way - Dash Point and Southern Rim",98003,3,"point population",2023-03-13
98023,3,0.488700204620537,25324.4259860579,35833.7137720499,35833.7137720499,"Federal Way - Dash Point and Southern Rim",98023,3,"point population",2023-03-13
98422,3,1,97.4619679157982,35833.7137720499,35833.7137720499,"Federal Way - Dash Point and Southern Rim",98422,3,"point population",2023-03-13
98001,4,0.662370036084293,24757.9562072636,39360.6641435532,39360.6641435532,"Lakeland, Algona, Pacific, and Milton",98001,4,"point population",2023-03-13
98003,4,0.108042445126652,5681.51253163263,39360.6641435532,39360.6641435532,"Lakeland, Algona, Pacific, and Milton",98003,4,"point population",2023-03-13
98032,4,0.011984219857602,457.393172150392,39360.6641435532,39360.6641435532,"Lakeland, Algona, Pacific, and Milton",98032,4,"point population",2023-03-13
98047,4,1,7078.55754381273,39360.6641435532,39360.6641435532,"Lakeland, Algona, Pacific, and Milton",98047,4,"point population",2023-03-13
98354,4,1,1385.24468869452,39360.6641435532,39360.6641435532,"Lakeland, Algona, Pacific, and Milton",98354,4,"point population",2023-03-13
98001,5,0.241237200994626,9016.92367169178,49626.358213209,49626.358213209,"Auburn - North",98001,5,"point population",2023-03-13
98002,5,0.486191473872872,18835.7777560973,49626.358213209,49626.358213209,"Auburn - North",98002,5,"point population",2023-03-13
98030,5,4.87337821641092e-05,1.92699795660112,49626.358213209,49626.358213209,"Auburn - North",98030,5,"point population",2023-03-13
98032,5,0.00148143571921516,56.5409005342052,49626.358213209,49626.358213209,"Auburn - North",98032,5,"point population",2023-03-13
98092,5,0.541839553512108,21715.1888869302,49626.358213209,49626.358213209,"Auburn - North",98092,5,"point population",2023-03-13
98003,6,0.160074922476326,8417.68877947227,34913.2246977088,34913.2246977088,"Federal Way - Central",98003,6,"point population",2023-03-13
98023,6,0.511299795379449,26495.5359182374,34913.2246977088,34913.2246977088,"Federal Way - Central",98023,6,"point population",2023-03-13
98003,7,0.591566075342206,31108.0526399192,31219.3751871774,31219.3751871774,"Federal Way - North Corridor",98003,7,"point population",2023-03-13
98032,7,0.0029167769933655,111.322547258215,31219.3751871774,31219.3751871774,"Federal Way - North Corridor",98032,7,"point population",2023-03-13
98010,8,0.0179102000235464,139.329570700901,25317.6831291614,25317.6831291614,"East Highlands, Hobart, and Greater Maple Valley",98010,8,"point population",2023-03-13
98022,8,7.52461635086831e-05,1.73339668793785,25317.6831291614,25317.6831291614,"East Highlands, Hobart, and Greater Maple Valley",98022,8,"point population",2023-03-13
98027,8,0.0020717230379006,60.5646382668135,25317.6831291614,25317.6831291614,"East Highlands, Hobart, and Greater Maple Valley",98027,8,"point population",2023-03-13
98038,8,0.232316115867361,8656.59190394638,25317.6831291614,25317.6831291614,"East Highlands, Hobart, and Greater Maple Valley",98038,8,"point population",2023-03-13
98042,8,0.0525283962081946,2633.42151891152,25317.6831291614,25317.6831291614,"East Highlands, Hobart, and Greater Maple Valley",98042,8,"point population",2023-03-13
98051,8,0.966536665278025,3548.39153818847,25317.6831291614,25317.6831291614,"East Highlands, Hobart, and Greater Maple Valley",98051,8,"point population",2023-03-13
98058,8,0.0753675797067537,3360.82538112475,25317.6831291614,25317.6831291614,"East Highlands, Hobart, and Greater Maple Valley",98058,8,"point population",2023-03-13
98059,8,0.163304828349674,6916.82518133535,25317.6831291614,25317.6831291614,"East Highlands, Hobart, and Greater Maple Valley",98059,8,"point population",2023-03-13
98030,9,0.520932975267935,20598.3762041507,30871.5885884052,30871.5885884052,"Kent - South",98030,9,"point population",2023-03-13
98032,9,0.0437898254113071,1671.29503553662,30871.5885884052,30871.5885884052,"Kent - South",98032,9,"point population",2023-03-13
