"zip","zip_type","city","uploaded"
98001,"Standard","Auburn",2022-02-02
98002,"Standard","Auburn",2022-02-02
98003,"Standard","Federal Way",2022-02-02
98004,"Standard","Bellevue",2022-02-02
98005,"Standard","Bellevue",2022-02-02
98006,"Standard","Bellevue",2022-02-02
98007,"Standard","Bellevue",2022-02-02
98008,"Standard","Bellevue",2022-02-02
98009,"PO Box","Bellevue",2022-02-02
98010,"Standard","Black Diamond",2022-02-02
98011,"Standard","Bothell",2022-02-02
98013,"PO Box","Burton, Vashon",2022-02-02
98014,"Standard","Carnation",2022-02-02
98015,"PO Box","Bellevue",2022-02-02
98019,"Standard","Duvall",2022-02-02
98022,"Standard","Enumclaw",2022-02-02
98023,"Standard","Federal Way",2022-02-02
98024,"Standard","Fall City",2022-02-02
98025,"PO Box","Hobart",2022-02-02
98027,"Standard","Issaquah",2022-02-02
98028,"Standard","Bothell",2022-02-02
98029,"Standard","Issaquah",2022-02-02
98030,"Standard","Kent",2022-02-02
98031,"Standard","Kent",2022-02-02
98032,"Standard","Kent",2022-02-02
98033,"Standard","Kirkland",2022-02-02
98034,"Standard","Kirkland",2022-02-02
98035,"PO Box","Kent",2022-02-02
98038,"Standard","Maple Valley",2022-02-02
98039,"Standard","Medina",2022-02-02
98040,"Standard","Mercer Island",2022-02-02
98041,"PO Box","Bothell",2022-02-02
98042,"Standard","Kent",2022-02-02
98045,"Standard","North Bend",2022-02-02
98047,"Standard","Auburn",2022-02-02
98050,"PO Box","Preston",2022-02-02
98051,"Standard","Reavensdale",2022-02-02
98052,"Standard","Redmond",2022-02-02
98053,"Standard","Redmond",2022-02-02
98055,"Standard","Renton",2022-02-02
98056,"Standard","Renton",2022-02-02
98057,"PO Box","Renton",2022-02-02
98058,"Standard","Renton",2022-02-02
98059,"Standard","Renton",2022-02-02
98062,"PO Box","Seahurst",2022-02-02
98063,"PO Box","Auburn",2022-02-02
98064,"PO Box","Kent",2022-02-02
98065,"Standard","Snoqualmie",2022-02-02
98070,"Standard","Vashon",2022-02-02
98071,"PO Box","Auburn",2022-02-02
98072,"Standard","Woodinville/2counties",2022-02-02
98073,"PO Box","Redmond",2022-02-02
98074,"Standard","Samamish/Redmond",2022-02-02
98075,"Standard","Samamish/Issaquah",2022-02-02
98077,"Standard","Woodinville/2counties",2022-02-02
98083,"PO Box","Kirkland",2022-02-02
98089,"PO Box","Kent",2022-02-02
98092,"Standard","Auburn",2022-02-02
98093,"PO Box","Auburn",2022-02-02
98101,"Standard","Seattle",2022-02-02
98102,"Standard","Seattle",2022-02-02
98103,"Standard","Seattle",2022-02-02
98104,"Standard","Seattle",2022-02-02
98105,"Standard","Seattle",2022-02-02
98106,"Standard","Seattle",2022-02-02
98107,"Standard","Seattle",2022-02-02
98108,"Standard","Seattle",2022-02-02
98109,"Standard","Seattle",2022-02-02
98111,"PO Box","Seattle",2022-02-02
98112,"Standard","Seattle",2022-02-02
98113,"PO Box","Seattle",2022-02-02
98114,"PO Box","Seattle",2022-02-02
98115,"Standard","Seattle",2022-02-02
98116,"Standard","Seattle",2022-02-02
98117,"Standard","Seattle",2022-02-02
98118,"Standard","Seattle",2022-02-02
98119,"Standard","Seattle",2022-02-02
98121,"Standard","Seattle",2022-02-02
98122,"Standard","Seattle",2022-02-02
98124,"PO Box","Seattle",2022-02-02
98125,"Standard","Seattle",2022-02-02
98126,"Standard","Seattle",2022-02-02
98127,"PO Box","Seattle",2022-02-02
98129,"PO Box","Seatle",2022-02-02
98131,"PO Box","Seattle",2022-02-02
98132,"Standard","Seattle",2022-02-02
98133,"Standard","Seattle/N County",2022-02-02
98134,"Standard","Seattle",2022-02-02
98136,"Standard","Seattle",2022-02-02
98138,"PO Box","Seattle",2022-02-02
98139,"PO Box","Seattle",2022-02-02
98141,"PO Box","Seattle",2022-02-02
98144,"Standard","Seattle",2022-02-02
98145,"PO Box","Seattle",2022-02-02
98146,"Standard","Seattle",2022-02-02
98148,"Standard","Seattle",2022-02-02
98154,"PO Box","Seattle",2022-02-02
98155,"Standard","Seattle/N County",2022-02-02
98158,"Standard","Seattle",2022-02-02
98160,"PO Box","Seattle",2022-02-02
98161,"PO Box","Seattle",2022-02-02
98164,"PO Box","Seattle",2022-02-02
98165,"PO Box","Seattle",2022-02-02
98166,"Standard","Seattle",2022-02-02
98168,"Standard","Seattle",2022-02-02
98170,"PO Box","Seattle",2022-02-02
98174,"PO Box","Seattle",2022-02-02
98175,"PO Box","Seattle",2022-02-02
98177,"Standard","Seattle/N County",2022-02-02
98178,"Standard","Seattle",2022-02-02
98181,"PO Box","Seattle",2022-02-02
98185,"PO Box","Seattle",2022-02-02
98188,"Standard","Seattle",2022-02-02
98189,"PO Box","West Valley Business Park in Kent",2022-02-02
98190,"PO Box","Seattle",2022-02-02
98191,"PO Box","Seattle",2022-02-02
98194,"PO Box","Seattle",2022-02-02
98195,"Standard","Seattle, unique",2022-02-02
98198,"Standard","Seattle",2022-02-02
98199,"Standard","Seattle",2022-02-02
98224,"PO Box","Baring",2022-02-02
98288,"PO Box","Skykomish",2022-02-02
