zip,zip_type,city,city_primary,multi_county,office_building,notes
98001,Standard,Auburn,Auburn,NA,NA,NA
98002,Standard,Auburn,Auburn,NA,NA,NA
98003,Standard,Federal Way,Federal Way,NA,NA,NA
98004,Standard,Bellevue,Bellevue,NA,NA,NA
98005,Standard,Bellevue,Bellevue,NA,NA,NA
98006,Standard,Bellevue,Bellevue,NA,NA,NA
98007,Standard,Bellevue,Bellevue,NA,NA,NA
98008,Standard,Bellevue,Bellevue,NA,NA,NA
98009,PO Box,Bellevue,Bellevue,NA,NA,NA
98010,Standard,Black Diamond,Black Diamond,NA,NA,NA
98011,Standard,Bothell,Bothell,NA,NA,NA
98013,PO Box,"Burton, Vashon",Burton,NA,NA,NA
98014,Standard,Carnation,Carnation,NA,NA,NA
98015,PO Box,Bellevue,Bellevue,NA,NA,NA
98019,Standard,Duvall,Duvall,1,NA,NA
98022,Standard,Enumclaw,Enumclaw,1,NA,crosses county
98023,Standard,Federal Way,Federal Way,NA,NA,NA
98024,Standard,Fall City,Fall City,NA,NA,NA
98025,PO Box,Hobart,Hobart,NA,NA,NA
98027,Standard,Issaquah,Issaquah,NA,NA,NA
98028,Standard,Bothell,Kenmore,NA,NA,NA
98029,Standard,Issaquah,Issaquah,NA,NA,NA
98030,Standard,Kent,Kent,NA,NA,started in 2003
98031,Standard,Kent,Kent,NA,NA,NA
98032,Standard,Kent,Kent,NA,NA,NA
98033,Standard,Kirkland,Kirkland,NA,NA,NA
98034,Standard,Kirkland,Kirkland,NA,NA,NA
98035,PO Box,Kent,Kent,NA,NA,NA
98038,Standard,Maple Valley,Maple Valley,NA,NA,NA
98039,Standard,Medina,Medina,NA,NA,NA
98040,Standard,Mercer Island,Mercer Island,NA,NA,NA
98041,PO Box,Bothell,Bothell,NA,NA,NA
98042,Standard,Kent,Kent,NA,NA,NA
98045,Standard,North Bend,North Bend,NA,NA,NA
98047,Standard,Auburn,Pacific,1,NA,crosses county
98050,PO Box,Preston,Preston,NA,NA,NA
98051,Standard,Reavensdale,Reavensdale,NA,NA,NA
98052,Standard,Redmond,Redmond,NA,NA,NA
98053,Standard,Redmond,Redmond,NA,NA,NA
98054,PO Box,Auburn-Redondo,Redondo,NA,NA,NA
98055,Standard,Renton,Renton,NA,NA,NA
98056,Standard,Renton,Renton,NA,NA,NA
98057,PO Box,Renton,Renton,NA,NA,NA
