"zip","city","region","region_vid","uploaded"
98001,"Auburn","south",1164,2022-02-02
98002,"Auburn","south",1164,2022-02-02
98003,"Federal Way","south",1164,2022-02-02
98004,"Bellevue","east",1163,2022-02-02
98005,"Bellevue","east",1163,2022-02-02
98006,"Bellevue","east",1163,2022-02-02
98007,"Bellevue","east",1163,2022-02-02
98008,"Bellevue","east",1163,2022-02-02
98009,"Bellevue","east",1163,2022-02-02
98010,"Black Diamond","south",1164,2022-02-02
98011,"Bothell","north",1161,2022-02-02
98013,"Burton, Vashon","south",1164,2022-02-02
98014,"Carnation","east",1163,2022-02-02
98015,"Bellevue","east",1163,2022-02-02
98019,"Duvall","east",1163,2022-02-02
98022,"Enumclaw","south",1164,2022-02-02
98023,"Federal Way","south",1164,2022-02-02
98024,"Fall City","east",1163,2022-02-02
98025,"Hobart","east",1163,2022-02-02
98027,"Issaquah","east",1163,2022-02-02
98028,"Bothell","north",1161,2022-02-02
98029,"Issaquah","east",1163,2022-02-02
98030,"Kent","south",1164,2022-02-02
98031,"Kent","south",1164,2022-02-02
98032,"Kent","south",1164,2022-02-02
98033,"Kirkland","east",1163,2022-02-02
98034,"Kirkland","east",1163,2022-02-02
98035,"Kent","south",1164,2022-02-02
98038,"Maple Valley","south",1164,2022-02-02
98039,"Medina","east",1163,2022-02-02
98040,"Mercer Island","east",1163,2022-02-02
98041,"Bothell","north",1161,2022-02-02
98042,"Kent","south",1164,2022-02-02
98045,"North Bend","east",1163,2022-02-02
98047,"Auburn","south",1164,2022-02-02
98050,"Preston","east",1163,2022-02-02
98051,"Reavensdale","south",1164,2022-02-02
98052,"Redmond","east",1163,2022-02-02
98053,"Redmond","east",1163,2022-02-02
98054,"Auburn-Redondo","south",1164,2022-02-02
98055,"Renton","south",1164,2022-02-02
98056,"Renton","south",1164,2022-02-02
98057,"Renton","south",1164,2022-02-02
98058,"Renton","south",1164,2022-02-02
98059,"Renton","east",1163,2022-02-02
98062,"Seahurst","south",1164,2022-02-02
98063,"Auburn","south",1164,2022-02-02
98064,"Kent","south",1164,2022-02-02
98065,"Snoqualmie","east",1163,2022-02-02
98068,"Snoqualmie Pass","east",1163,2022-02-02
98070,"Vashon","south",1164,2022-02-02
98071,"Auburn","south",1164,2022-02-02
98072,"Woodinville/2counties","north",1161,2022-02-02
98073,"Redmond","east",1163,2022-02-02
98074,"Samamish/Redmond","east",1163,2022-02-02
98075,"Samamish/Issaquah","east",1163,2022-02-02
98077,"Woodinville/2counties","east",1163,2022-02-02
98082,"Mill Creek","north",1161,2022-02-02
98083,"Kirkland","east",1163,2022-02-02
98089,"Kent","south",1164,2022-02-02
98092,"Auburn","south",1164,2022-02-02
98093,"Auburn","south",1164,2022-02-02
98101,"Seattle","seattle",1162,2022-02-02
98102,"Seattle","seattle",1162,2022-02-02
98103,"Seattle","seattle",1162,2022-02-02
98104,"Seattle","seattle",1162,2022-02-02
98105,"Seattle","seattle",1162,2022-02-02
98106,"Seattle","seattle",1162,2022-02-02
98107,"Seattle","seattle",1162,2022-02-02
98108,"Seattle","seattle",1162,2022-02-02
98109,"Seattle","seattle",1162,2022-02-02
98111,"Seattle","seattle",1162,2022-02-02
98112,"Seattle","seattle",1162,2022-02-02
98113,"Seattle","seattle",1162,2022-02-02
98114,"Seattle","seattle",1162,2022-02-02
98115,"Seattle","seattle",1162,2022-02-02
98116,"Seattle","seattle",1162,2022-02-02
98117,"Seattle","seattle",1162,2022-02-02
98118,"Seattle","seattle",1162,2022-02-02
98119,"Seattle","seattle",1162,2022-02-02
98121,"Seattle","seattle",1162,2022-02-02
98122,"Seattle","seattle",1162,2022-02-02
98124,"Seattle","seattle",1162,2022-02-02
98125,"Seattle","seattle",1162,2022-02-02
98126,"Seattle","seattle",1162,2022-02-02
98127,"Seattle","seattle",1162,2022-02-02
98129,"Seatle","seattle",1162,2022-02-02
98131,"Seattle","seattle",1162,2022-02-02
98132,"Seattle","seattle",1162,2022-02-02
98133,"Seattle/N County","north",1161,2022-02-02
98134,"Seattle","seattle",1162,2022-02-02
98136,"Seattle","seattle",1162,2022-02-02
98138,"Seattle","seattle",1162,2022-02-02
98139,"Seattle","seattle",1162,2022-02-02
98141,"Seattle","seattle",1162,2022-02-02
98144,"Seattle","seattle",1162,2022-02-02
98145,"Seattle","seattle",1162,2022-02-02
98146,"Seattle","south",1164,2022-02-02
98148,"Seattle","south",1164,2022-02-02
98154,"Seattle","seattle",1162,2022-02-02
98155,"Seattle/N County","north",1161,2022-02-02
98158,"Seattle","south",1164,2022-02-02
98160,"Seattle","north",1161,2022-02-02
98161,"Seattle","seattle",1162,2022-02-02
98164,"Seattle","seattle",1162,2022-02-02
98165,"Seattle","seattle",1162,2022-02-02
98166,"Seattle","south",1164,2022-02-02
98168,"Seattle","south",1164,2022-02-02
98171,"Seattle","seattle",1162,2022-02-02
98174,"Seattle","seattle",1162,2022-02-02
98175,"Seattle","seattle",1162,2022-02-02
98177,"Seattle/N County","north",1161,2022-02-02
98178,"Seattle","south",1164,2022-02-02
98188,"Seattle","south",1164,2022-02-02
98194,"Seattle","seattle",1162,2022-02-02
98195,"Seattle, unique","seattle",1162,2022-02-02
98198,"Seattle","south",1164,2022-02-02
98199,"Seattle","seattle",1162,2022-02-02
98224,"Baring","east",1163,2022-02-02
98288,"Skykomish","east",1163,2022-02-02
