"zip","zip_type","city","primary_city","two_counties"
98001,"Standard","Auburn","Auburn",""
98002,"Standard","Auburn","Auburn",""
98003,"Standard","Federal Way","Federal Way",""
98004,"Standard","Bellevue","Bellevue",""
98005,"Standard","Bellevue","Bellevue",""
98006,"Standard","Bellevue","Bellevue",""
98007,"Standard","Bellevue","Bellevue",""
98008,"Standard","Bellevue","Bellevue",""
98009,"PO Box","Bellevue","Bellevue",""
98010,"Standard","Black Diamond","Black Diamond",""
98011,"Standard","Bothell","Bothell",""
98013,"PO Box","Burton, Vashon","Burton",""
98014,"Standard","Carnation","Carnation",""
98015,"PO Box","Bellevue","Bellevue",""
98019,"Standard","Duvall","Duvall",""
98022,"Standard","Enumclaw","Enumclaw","yes"
98023,"Standard","Federal Way","Federal Way",""
98024,"Standard","Fall City","Fall City",""
98025,"PO Box","Hobart","Hobart",""
98027,"Standard","Issaquah","Issaquah",""
98028,"Standard","Bothell","Kenmore",""
98029,"Standard","Issaquah","Issaquah",""
98030,"Standard","Kent","Kent",""
98031,"Standard","Kent","Kent",""
98032,"Standard","Kent","Kent",""
98033,"Standard","Kirkland","Kirkland",""
98034,"Standard","Kirkland","Kirkland",""
98035,"PO Box","Kent","Kent",""
98038,"Standard","Maple Valley","Maple Valley",""
98039,"Standard","Medina","Medina",""
98040,"Standard","Mercer Island","Mercer Island",""
98041,"PO Box","Bothell","Bothell",""
98042,"Standard","Kent","Kent",""
98045,"Standard","North Bend","North Bend",""
98047,"Standard","Auburn","Pacific","yes"
98048,"Former","Palmer","Palmer",""
98050,"PO Box","Preston","Preston",""
98051,"Standard","Reavensdale","Reavensdale",""
98052,"Standard","Redmond","Redmond",""
98053,"Standard","Redmond","Redmond",""
98054,"PO Box","Auburn-Redondo","Redondo",""
98055,"Standard","Renton","Renton",""
98056,"Standard","Renton","Renton",""
98057,"PO Box","Renton","Renton",""
98058,"Standard","Renton","Renton",""
98059,"Standard","Renton","Renton",""
98062,"PO Box","Seahurst","Seahurst",""
