"ZIP","hra20_id","s2t_fraction","isect_amount","tcoverage_amount","target_amount","hra20_name","source_id","target_id","method","creation_date"
98002,1,0.00692245672837655,1421198.94953269,9330867003.88709,9336629268.93916,"Enumclaw, Black Diamond, and Southeast King County",98002,1,"geographic overlap",2026-04-13
98010,1,0.760118502417979,394609946.871226,9330867003.88709,9336629268.93916,"Enumclaw, Black Diamond, and Southeast King County",98010,1,"geographic overlap",2026-04-13
98022,1,0.540740963100491,7499215797.77887,9330867003.88709,9336629268.93916,"Enumclaw, Black Diamond, and Southeast King County",98022,1,"geographic overlap",2026-04-13
98038,1,0.00151489999286862,2486792.39748242,9330867003.88709,9336629268.93916,"Enumclaw, Black Diamond, and Southeast King County",98038,1,"geographic overlap",2026-04-13
98042,1,0.372025009894326,285722682.377616,9330867003.88709,9336629268.93916,"Enumclaw, Black Diamond, and Southeast King County",98042,1,"geographic overlap",2026-04-13
98051,1,0.258244264125203,297362348.194174,9330867003.88709,9336629268.93916,"Enumclaw, Black Diamond, and Southeast King County",98051,1,"geographic overlap",2026-04-13
98092,1,0.67508435747663,850048237.318192,9330867003.88709,9336629268.93916,"Enumclaw, Black Diamond, and Southeast King County",98092,1,"geographic overlap",2026-04-13
98001,2,0.0893110038688472,46921221.9761063,338846548.534253,339311249.089383,"Auburn - South",98001,2,"geographic overlap",2026-04-13
98002,2,0.477467550227068,98025369.8137305,338846548.534253,339311249.089383,"Auburn - South",98002,2,"geographic overlap",2026-04-13
98047,2,0.0714998619718096,4854708.25423132,338846548.534253,339311249.089383,"Auburn - South",98047,2,"geographic overlap",2026-04-13
98092,2,0.150134409446737,189045248.490185,338846548.534253,339311249.089383,"Auburn - South",98092,2,"geographic overlap",2026-04-13
98001,3,0.0967390275272527,50823674.4379735,312083975.993751,314144107.413334,"Federal Way - Dash Point and Southern Rim",98001,3,"geographic overlap",2026-04-13
98003,3,0.336801728447087,106746805.273249,312083975.993751,314144107.413334,"Federal Way - Dash Point and Southern Rim",98003,3,"geographic overlap",2026-04-13
98023,3,0.299996235991646,154472713.620568,312083975.993751,314144107.413334,"Federal Way - Dash Point and Southern Rim",98023,3,"geographic overlap",2026-04-13
98354,3,0.000529849636330584,40782.6619603629,312083975.993751,314144107.413334,"Federal Way - Dash Point and Southern Rim",98354,3,"geographic overlap",2026-04-13
98001,4,0.47210684822979,248030245.576007,390825648.412177,390856001.169629,"Lakeland, Algona, Pacific, and Milton",98001,4,"geographic overlap",2026-04-13
98002,4,0.00165521479520821,339820.040847342,390825648.412177,390856001.169629,"Lakeland, Algona, Pacific, and Milton",98002,4,"geographic overlap",2026-04-13
98003,4,0.11193289124182,35476298.1774292,390825648.412177,390856001.169629,"Lakeland, Algona, Pacific, and Milton",98003,4,"geographic overlap",2026-04-13
98032,4,0.0998804432088391,47519887.4581746,390825648.412177,390856001.169629,"Lakeland, Algona, Pacific, and Milton",98032,4,"geographic overlap",2026-04-13
98047,4,0.647820977034977,43985844.9756991,390825648.412177,390856001.169629,"Lakeland, Algona, Pacific, and Milton",98047,4,"geographic overlap",2026-04-13
98092,4,0.000474879484718488,597955.595404972,390825648.412177,390856001.169629,"Lakeland, Algona, Pacific, and Milton",98092,4,"geographic overlap",2026-04-13
98354,4,0.193264222191735,14875596.5886148,390825648.412177,390856001.169629,"Lakeland, Algona, Pacific, and Milton",98354,4,"geographic overlap",2026-04-13
98001,5,0.336854520868856,176972881.981632,457576282.958787,457576336.178017,"Auburn - North",98001,5,"geographic overlap",2026-04-13
98002,5,0.51132481387015,104976356.928804,457576282.958787,457576336.178017,"Auburn - North",98002,5,"geographic overlap",2026-04-13
98030,5,0.010097695909128,2026111.01485465,457576282.958787,457576336.178017,"Auburn - North",98030,5,"geographic overlap",2026-04-13
98032,5,0.00183729118618836,874123.778295776,457576282.958787,457576336.178017,"Auburn - North",98032,5,"geographic overlap",2026-04-13
98042,5,1.45383665518052e-05,11165.75761869,457576282.958787,457576336.178017,"Auburn - North",98042,5,"geographic overlap",2026-04-13
98092,5,0.137165897296112,172715643.497583,457576282.958787,457576336.178017,"Auburn - North",98092,5,"geographic overlap",2026-04-13
98003,6,0.108806768634743,34485496.845332,281296611.742122,281347775.99567,"Federal Way - Central",98003,6,"geographic overlap",2026-04-13
98023,6,0.47018153628562,242103763.616387,281296611.742122,281347775.99567,"Federal Way - Central",98023,6,"geographic overlap",2026-04-13
98198,6,0.0140213766126415,4707351.28040254,281296611.742122,281347775.99567,"Federal Way - Central",98198,6,"geographic overlap",2026-04-13
98001,7,0.00454516064978319,2387885.9550019,141953410.424023,141953425.327884,"Federal Way - North Corridor",98001,7,"geographic overlap",2026-04-13
98003,7,0.439327786905196,139241677.696034,141953410.424023,141953425.327884,"Federal Way - North Corridor",98003,7,"geographic overlap",2026-04-13
98032,7,0.000417457948095169,198613.00245259,141953410.424023,141953425.327884,"Federal Way - North Corridor",98032,7,"geographic overlap",2026-04-13
98198,7,0.000373022907508494,125233.770534089,141953410.424023,141953425.327884,"Federal Way - North Corridor",98198,7,"geographic overlap",2026-04-13
98010,8,0.238606528048954,123870829.425949,8906987517.9917,8910859627.76047,"East Highlands, Hobart, and Greater Maple Valley",98010,8,"geographic overlap",2026-04-13
98022,8,0.278273807650342,3859214442.48289,8906987517.9917,8910859627.76047,"East Highlands, Hobart, and Greater Maple Valley",98022,8,"geographic overlap",2026-04-13
98027,8,0.0199556686417185,32130246.9500953,8906987517.9917,8910859627.76047,"East Highlands, Hobart, and Greater Maple Valley",98027,8,"geographic overlap",2026-04-13
98038,8,0.823450117044583,1351739058.95587,8906987517.9917,8910859627.76047,"East Highlands, Hobart, and Greater Maple Valley",98038,8,"geographic overlap",2026-04-13
98042,8,0.228630103627847,175592513.254355,8906987517.9917,8910859627.76047,"East Highlands, Hobart, and Greater Maple Valley",98042,8,"geographic overlap",2026-04-13
98045,8,0.227549337977967,1833290419.11425,8906987517.9917,8910859627.76047,"East Highlands, Hobart, and Greater Maple Valley",98045,8,"geographic overlap",2026-04-13
98051,8,0.741745804487718,854103284.472981,8906987517.9917,8910859627.76047,"East Highlands, Hobart, and Greater Maple Valley",98051,8,"geographic overlap",2026-04-13
98058,8,0.557558628559582,349644758.824168,8906987517.9917,8910859627.76047,"East Highlands, Hobart, and Greater Maple Valley",98058,8,"geographic overlap",2026-04-13
98059,8,0.144481740104627,66795469.6011239,8906987517.9917,8910859627.76047,"East Highlands, Hobart, and Greater Maple Valley",98059,8,"geographic overlap",2026-04-13
98065,8,0.108352769684765,260606494.910015,8906987517.9917,8910859627.76047,"East Highlands, Hobart, and Greater Maple Valley",98065,8,"geographic overlap",2026-04-13
98001,9,0.000211250268884667,110984.316931489,209714586.087657,209714622.971732,"Kent - South",98001,9,"geographic overlap",2026-04-13
98002,9,0.00262996437910379,539938.747116918,209714586.087657,209714622.971732,"Kent - South",98002,9,"geographic overlap",2026-04-13
98030,9,0.649273694570099,130277302.472011,209714586.087657,209714622.971732,"Kent - South",98030,9,"geographic overlap",2026-04-13
98032,9,0.0548535980307888,26097569.4676168,209714586.087657,209714622.971732,"Kent - South",98032,9,"geographic overlap",2026-04-13
98042,9,0.0683620164408167,52503402.1657874,209714586.087657,209714622.971732,"Kent - South",98042,9,"geographic overlap",2026-04-13
98092,9,0.000147230654953231,185388.91819387,209714586.087657,209714622.971732,"Kent - South",98092,9,"geographic overlap",2026-04-13
98010,10,0.00127496953307552,661891.084230844,172432080.51307,172432092.597151,"Maple Valley",98010,10,"geographic overlap",2026-04-13
98038,10,0.104458819601348,171474948.615403,172432080.51307,172432092.597151,"Maple Valley",98038,10,"geographic overlap",2026-04-13
98042,10,0.000369528156625816,283805.048900273,172432080.51307,172432092.597151,"Maple Valley",98042,10,"geographic overlap",2026-04-13
98051,10,9.93138712810105e-06,11435.7645357255,172432080.51307,172432092.597151,"Maple Valley",98051,10,"geographic overlap",2026-04-13
98038,11,5.19430605131744e-05,85267.4160632425,170503530.014668,170503535.057947,"Covington",98038,11,"geographic overlap",2026-04-13
98042,11,0.221892974340866,170418262.598604,170503530.014668,170503535.057947,"Covington",98042,11,"geographic overlap",2026-04-13
98030,12,0.324584097468799,65128066.9418557,106777080.816689,106777102.461416,"Kent - Central",98030,12,"geographic overlap",2026-04-13
98031,12,0.122596679911073,27968035.4093808,106777080.816689,106777102.461416,"Kent - Central",98031,12,"geographic overlap",2026-04-13
98032,12,0.028755585624287,13680978.4654529,106777080.816689,106777102.461416,"Kent - Central",98032,12,"geographic overlap",2026-04-13
98001,13,7.7284055469696e-05,40602.6375790431,390995484.820759,390995525.632588,"Kent - West",98001,13,"geographic overlap",2026-04-13
98003,13,2.32146428651207e-05,7357.70856294874,390995484.820759,390995525.632588,"Kent - West",98003,13,"geographic overlap",2026-04-13
98031,13,0.078199769444164,17839748.3717033,390995484.820759,390995525.632588,"Kent - West",98031,13,"geographic overlap",2026-04-13
98032,13,0.782043171868192,372070871.140484,390995484.820759,390995525.632588,"Kent - West",98032,13,"geographic overlap",2026-04-13
98055,13,0.00400976738017154,500679.951005172,390995484.820759,390995525.632588,"Kent - West",98055,13,"geographic overlap",2026-04-13
98057,13,0.00107109081689031,203001.293179538,390995484.820759,390995525.632588,"Kent - West",98057,13,"geographic overlap",2026-04-13
98188,13,0.000316874434877601,70429.4570134225,390995484.820759,390995525.632588,"Kent - West",98188,13,"geographic overlap",2026-04-13
98198,13,0.000782762341043233,262794.261231001,390995484.820759,390995525.632588,"Kent - West",98198,13,"geographic overlap",2026-04-13
98030,14,0.0160445120521142,3219344.58012057,261899114.725447,261899138.439791,"Kent - East",98030,14,"geographic overlap",2026-04-13
98031,14,0.789953426069416,180212428.330824,261899114.725447,261899138.439791,"Kent - East",98031,14,"geographic overlap",2026-04-13
98032,14,0.00489619979493758,2329453.65232001,261899114.725447,261899138.439791,"Kent - East",98032,14,"geographic overlap",2026-04-13
98042,14,0.0980220502696737,75282904.079917,261899114.725447,261899138.439791,"Kent - East",98042,14,"geographic overlap",2026-04-13
98055,14,0.0068160771294325,851090.060757026,261899114.725447,261899138.439791,"Kent - East",98055,14,"geographic overlap",2026-04-13
98058,14,6.20957482484554e-06,3894.02150881023,261899114.725447,261899138.439791,"Kent - East",98058,14,"geographic overlap",2026-04-13
98003,15,0.00299330182349782,948704.771647818,376400902.78961,376400952.039571,"Des Moines and Normandy Park",98003,15,"geographic overlap",2026-04-13
98023,15,4.14691379880495e-05,21353.1021659158,376400902.78961,376400952.039571,"Des Moines and Normandy Park",98023,15,"geographic overlap",2026-04-13
98032,15,0.000878623424488126,418020.634554982,376400902.78961,376400952.039571,"Des Moines and Normandy Park",98032,15,"geographic overlap",2026-04-13
98070,15,0.00066415489767001,1510955.79669931,376400902.78961,376400952.039571,"Des Moines and Normandy Park",98070,15,"geographic overlap",2026-04-13
98148,15,0.170105507300154,13418926.3152205,376400902.78961,376400952.039571,"Des Moines and Normandy Park",98148,15,"geographic overlap",2026-04-13
98166,15,0.361995379039964,151371703.723941,376400902.78961,376400952.039571,"Des Moines and Normandy Park",98166,15,"geographic overlap",2026-04-13
98198,15,0.621669959009994,208711238.44538,376400902.78961,376400952.039571,"Des Moines and Normandy Park",98198,15,"geographic overlap",2026-04-13
98023,16,0.228923986058001,117876510.091284,2493914847.18977,2493988146.59479,"Vashon",98023,16,"geographic overlap",2026-04-13
98070,16,0.981274298125593,2232404058.30988,2493914847.18977,2493988146.59479,"Vashon",98070,16,"geographic overlap",2026-04-13
98136,16,0.00125222155074865,299754.377372205,2493914847.18977,2493988146.59479,"Vashon",98136,16,"geographic overlap",2026-04-13
98146,16,0.0558199385646468,14383859.8658449,2493914847.18977,2493988146.59479,"Vashon",98146,16,"geographic overlap",2026-04-13
98166,16,0.125614179728455,52526726.8543845,2493914847.18977,2493988146.59479,"Vashon",98166,16,"geographic overlap",2026-04-13
98198,16,0.227637316349808,76423937.6910079,2493914847.18977,2493988146.59479,"Vashon",98198,16,"geographic overlap",2026-04-13
98031,17,0.00438927384878577,1001327.00586472,175190715.679833,175190725.50505,"Fairwood",98031,17,"geographic overlap",2026-04-13
98042,17,0.0106837789031577,8205356.85761203,175190715.679833,175190725.50505,"Fairwood",98042,17,"geographic overlap",2026-04-13
98058,17,0.26468530360227,165984031.816356,175190715.679833,175190725.50505,"Fairwood",98058,17,"geographic overlap",2026-04-13
98032,18,0.0085603409962335,4072733.63709519,289203708.131357,289203765.527383,"Seatac",98032,18,"geographic overlap",2026-04-13
98148,18,0.352833112686053,27833558.2183691,289203708.131357,289203765.527383,"Seatac",98148,18,"geographic overlap",2026-04-13
98158,18,1.00000000000002,59126603.7637664,289203708.131357,289203765.527383,"Seatac",98158,18,"geographic overlap",2026-04-13
98168,18,0.143404946277053,37272794.6812269,289203708.131357,289203765.527383,"Seatac",98168,18,"geographic overlap",2026-04-13
98188,18,0.519212944195961,115401817.594364,289203708.131357,289203765.527383,"Seatac",98188,18,"geographic overlap",2026-04-13
98198,18,0.135515562778664,45496200.2365356,289203708.131357,289203765.527383,"Seatac",98198,18,"geographic overlap",2026-04-13
98031,19,0.00486085072659643,1108908.04987358,291655634.552947,291655679.969705,"Renton - South",98031,19,"geographic overlap",2026-04-13
98032,19,1.09623321186486e-06,521.552339799004,291655634.552947,291655679.969705,"Renton - South",98032,19,"geographic overlap",2026-04-13
98055,19,0.97318143080266,121516383.594445,291655634.552947,291655679.969705,"Renton - South",98055,19,"geographic overlap",2026-04-13
98057,19,0.521481610535028,98835168.445665,291655634.552947,291655679.969705,"Renton - South",98057,19,"geographic overlap",2026-04-13
98058,19,0.107588722293657,67468838.130529,291655634.552947,291655679.969705,"Renton - South",98058,19,"geographic overlap",2026-04-13
98168,19,0.000323182412802633,83999.2763827257,291655634.552947,291655679.969705,"Renton - South",98168,19,"geographic overlap",2026-04-13
98178,19,0.0163535138080272,2489166.30080494,291655634.552947,291655679.969705,"Renton - South",98178,19,"geographic overlap",2026-04-13
98188,19,0.000686795439814734,152649.202906288,291655634.552947,291655679.969705,"Renton - South",98188,19,"geographic overlap",2026-04-13
98070,20,0.00689556843611445,15687453.5392806,446536873.536886,446536913.247924,"Burien",98070,20,"geographic overlap",2026-04-13
98146,20,0.361649904204213,93191101.1787505,446536873.536886,446536913.247924,"Burien",98146,20,"geographic overlap",2026-04-13
98148,20,0.477061380013017,37633417.0941113,446536873.536886,446536913.247924,"Burien",98148,20,"geographic overlap",2026-04-13
98166,20,0.512390441231595,214260784.949207,446536873.536886,446536913.247924,"Burien",98166,20,"geographic overlap",2026-04-13
98168,20,0.329972535300373,85764116.7755366,446536873.536886,446536913.247924,"Burien",98168,20,"geographic overlap",2026-04-13
98032,21,0.0178761916847469,8504914.3731148,267857038.343086,267857082.803385,"Tukwila",98032,21,"geographic overlap",2026-04-13
98057,21,0.0189762022908077,3596514.454166,267857038.343086,267857082.803385,"Tukwila",98057,21,"geographic overlap",2026-04-13
98108,21,0.104087093038565,22448500.1231695,267857038.343086,267857082.803385,"Tukwila",98108,21,"geographic overlap",2026-04-13
98118,21,7.2792055654826e-05,18657.5923124231,267857038.343086,267857082.803385,"Tukwila",98118,21,"geographic overlap",2026-04-13
98168,21,0.406335420698207,105611815.356314,267857038.343086,267857082.803385,"Tukwila",98168,21,"geographic overlap",2026-04-13
98178,21,0.13822066409058,21038550.0735794,267857038.343086,267857082.803385,"Tukwila",98178,21,"geographic overlap",2026-04-13
98188,21,0.479783385929256,106638086.37043,267857038.343086,267857082.803385,"Tukwila",98188,21,"geographic overlap",2026-04-13
98006,22,0.0595521163139923,20526736.8626474,1619130074.73047,1619130166.91029,"Newcastle and Four Creeks",98006,22,"geographic overlap",2026-04-13
98027,22,0.698408021700365,1124493626.9511,1619130074.73047,1619130166.91029,"Newcastle and Four Creeks",98027,22,"geographic overlap",2026-04-13
98038,22,0.0705242203007784,115769420.891113,1619130074.73047,1619130166.91029,"Newcastle and Four Creeks",98038,22,"geographic overlap",2026-04-13
98040,22,0.000581930975135873,206952.625160776,1619130074.73047,1619130166.91029,"Newcastle and Four Creeks",98040,22,"geographic overlap",2026-04-13
98056,22,0.278561785657588,65225725.4052876,1619130074.73047,1619130166.91029,"Newcastle and Four Creeks",98056,22,"geographic overlap",2026-04-13
98058,22,1.66899380519396e-05,10466.2524549867,1619130074.73047,1619130166.91029,"Newcastle and Four Creeks",98058,22,"geographic overlap",2026-04-13
98059,22,0.633359812774725,292809085.010548,1619130074.73047,1619130166.91029,"Newcastle and Four Creeks",98059,22,"geographic overlap",2026-04-13
98065,22,3.66131482408578e-05,88060.7321661512,1619130074.73047,1619130166.91029,"Newcastle and Four Creeks",98065,22,"geographic overlap",2026-04-13
98040,23,0.0175515715983542,6241880.86418432,413534068.41118,413534121.197224,"Renton - North",98040,23,"geographic overlap",2026-04-13
98055,23,0.0159927246878557,1996932.95245777,413534068.41118,413534121.197224,"Renton - North",98055,23,"geographic overlap",2026-04-13
98056,23,0.717288874212244,167954434.364322,413534068.41118,413534121.197224,"Renton - North",98056,23,"geographic overlap",2026-04-13
98057,23,0.456242458117379,86470547.1662389,413534068.41118,413534121.197224,"Renton - North",98057,23,"geographic overlap",2026-04-13
98058,23,0.0701444460317422,43987549.7559491,413534068.41118,413534121.197224,"Renton - North",98058,23,"geographic overlap",2026-04-13
98059,23,0.221882613298944,102578729.608981,413534068.41118,413534121.197224,"Renton - North",98059,23,"geographic overlap",2026-04-13
98118,23,0.00437534604739437,1121460.60505772,413534068.41118,413534121.197224,"Renton - North",98118,23,"geographic overlap",2026-04-13
98178,23,0.0209088476251016,3182533.09398997,413534068.41118,413534121.197224,"Renton - North",98178,23,"geographic overlap",2026-04-13
98057,24,0.00222863824047739,422388.50124752,86586175.6088702,86586185.8788486,"Skyway",98057,24,"geographic overlap",2026-04-13
98178,24,0.566085392430692,86163787.1076227,86586175.6088702,86586185.8788486,"Skyway",98178,24,"geographic overlap",2026-04-13
98024,25,0.000611939289493979,1342288.32715062,324159075.643351,324159093.148198,"Snoqualmie and North Bend",98024,25,"geographic overlap",2026-04-13
98045,25,0.015284438165763,123141707.639469,324159075.643351,324159093.148198,"Snoqualmie and North Bend",98045,25,"geographic overlap",2026-04-13
98065,25,0.0830192199448844,199675079.676731,324159075.643351,324159093.148198,"Snoqualmie and North Bend",98065,25,"geographic overlap",2026-04-13
98106,26,0.0567899066142982,8661652.89744475,98340560.866697,98340581.3164068,"North Highline and White Center",98106,26,"geographic overlap",2026-04-13
98108,26,0.0757233075649379,16331272.4908985,98340560.866697,98340581.3164068,"North Highline and White Center",98108,26,"geographic overlap",2026-04-13
