"ZIP","hra20_id","s2t_fraction","isect_amount","tcoverage_amount","target_amount","hra20_name","source_id","target_id","method","creation_date"
98010,1,0.958873720225649,8267.95049999895,50727.3829999967,50727.3829999967,"Enumclaw, Black Diamond, and Southeast King County",98010,1,"point population",2026-04-13
98022,1,0.999889556384991,23366.809795448,50727.3829999967,50727.3829999967,"Enumclaw, Black Diamond, and Southeast King County",98022,1,"point population",2026-04-13
98038,1,0.000918039184249095,35.4933333334,50727.3829999967,50727.3829999967,"Enumclaw, Black Diamond, and Southeast King County",98038,1,"point population",2026-04-13
98042,1,0.190300033644749,9790.15458333649,50727.3829999967,50727.3829999967,"Enumclaw, Black Diamond, and Southeast King County",98042,1,"point population",2026-04-13
98051,1,0.0456758246711925,176.78925000115,50727.3829999967,50727.3829999967,"Enumclaw, Black Diamond, and Southeast King County",98051,1,"point population",2026-04-13
98092,1,0.220953398087808,9090.18553787904,50727.3829999967,50727.3829999967,"Enumclaw, Black Diamond, and Southeast King County",98092,1,"point population",2026-04-13
98001,2,0.00987299417196276,367.2429999993,30024.6909999934,30024.6909999934,"Auburn - South",98001,2,"point population",2026-04-13
98002,2,0.487704084819321,19154.8819999925,30024.6909999934,30024.6909999934,"Auburn - South",98002,2,"point population",2026-04-13
98092,2,0.255283859352699,10502.5660000017,30024.6909999934,30024.6909999934,"Auburn - South",98092,2,"point population",2026-04-13
98001,3,0.0851872422642219,3168.686,36014.7394736876,36102.7820000031,"Federal Way - Dash Point and Southern Rim",98001,3,"point population",2026-04-13
98003,3,0.140400121904917,7556.71034804613,36014.7394736876,36102.7820000031,"Federal Way - Dash Point and Southern Rim",98003,3,"point population",2026-04-13
98023,3,0.489103973500534,25289.3431256414,36014.7394736876,36102.7820000031,"Federal Way - Dash Point and Southern Rim",98023,3,"point population",2026-04-13
98001,4,0.670829349392657,24952.6514923042,39651.5359999963,39651.5359999963,"Lakeland, Algona, Pacific, and Milton",98001,4,"point population",2026-04-13
98002,4,0.000280377471497015,11.0119999999,39651.5359999963,39651.5359999963,"Lakeland, Algona, Pacific, and Milton",98002,4,"point population",2026-04-13
98003,4,0.110649888619995,5955.47316483906,39651.5359999963,39651.5359999963,"Lakeland, Algona, Pacific, and Milton",98003,4,"point population",2026-04-13
98032,4,0.0110063819344115,458.5540000001,39651.5359999963,39651.5359999963,"Lakeland, Algona, Pacific, and Milton",98032,4,"point population",2026-04-13
98047,4,1,6978.77499999607,39651.5359999963,39651.5359999963,"Lakeland, Algona, Pacific, and Milton",98047,4,"point population",2026-04-13
98354,4,1,1295.07034285702,39651.5359999963,39651.5359999963,"Lakeland, Algona, Pacific, and Milton",98354,4,"point population",2026-04-13
98001,5,0.234110414171159,8708.13953030046,50418.53699999,50418.53699999,"Auburn - North",98001,5,"point population",2026-04-13
98002,5,0.512015537709181,20109.7294696957,50418.53699999,50418.53699999,"Auburn - North",98002,5,"point population",2026-04-13
98030,5,4.6329176404913e-05,1.8159999999,50418.53699999,50418.53699999,"Auburn - North",98030,5,"point population",2026-04-13
98032,5,0.00122092846173925,50.8669999988,50418.53699999,50418.53699999,"Auburn - North",98032,5,"point population",2026-04-13
98092,5,0.523762742559473,21547.9849999949,50418.53699999,50418.53699999,"Auburn - North",98092,5,"point population",2026-04-13
98003,6,0.141951355182736,7640.20187500269,34056.3130000082,34056.3130000082,"Federal Way - Central",98003,6,"point population",2026-04-13
98023,6,0.510896026499462,26416.1111250052,34056.3130000082,34056.3130000082,"Federal Way - Central",98023,6,"point population",2026-04-13
98003,7,0.606629716253978,32650.435000001,32740.9050000015,32740.9050000015,"Federal Way - North Corridor",98003,7,"point population",2026-04-13
98032,7,0.0021714942484669,90.4700000005,32740.9050000015,32740.9050000015,"Federal Way - North Corridor",98032,7,"point population",2026-04-13
98010,8,0.0210196166117327,181.2429999999,25866.769000001,25866.769000001,"East Highlands, Hobart, and Greater Maple Valley",98010,8,"point population",2026-04-13
98022,8,0.000110443615008687,2.581,25866.769000001,25866.769000001,"East Highlands, Hobart, and Greater Maple Valley",98022,8,"point population",2026-04-13
98027,8,0.00255047955485698,75.8394999999,25866.769000001,25866.769000001,"East Highlands, Hobart, and Greater Maple Valley",98027,8,"point population",2026-04-13
98038,8,0.234047658231618,9048.77666666402,25866.769000001,25866.769000001,"East Highlands, Hobart, and Greater Maple Valley",98038,8,"point population",2026-04-13
98042,8,0.0505064642454674,2598.35000000026,25866.769000001,25866.769000001,"East Highlands, Hobart, and Greater Maple Valley",98042,8,"point population",2026-04-13
98051,8,0.954324175328807,3693.7319999994,25866.769000001,25866.769000001,"East Highlands, Hobart, and Greater Maple Valley",98051,8,"point population",2026-04-13
98058,8,0.0862707156681255,3859.75800000051,25866.769000001,25866.769000001,"East Highlands, Hobart, and Greater Maple Valley",98058,8,"point population",2026-04-13
98059,8,0.150105266359857,6406.48883333713,25866.769000001,25866.769000001,"East Highlands, Hobart, and Greater Maple Valley",98059,8,"point population",2026-04-13
98030,9,0.524109136306089,20543.9048421874,31115.841000019,31115.841000019,"Kent - South",98030,9,"point population",2026-04-13
98032,9,0.043914139467643,1829.57528000111,31115.841000019,31115.841000019,"Kent - South",98032,9,"point population",2026-04-13
98042,9,0.169933125674785,8742.36087783054,31115.841000019,31115.841000019,"Kent - South",98042,9,"point population",2026-04-13
98010,10,0.0201066631626165,173.3709999994,29339.9999999918,29339.9999999918,"Maple Valley",98010,10,"point population",2026-04-13
98038,10,0.753957480435795,29149.5881999924,29339.9999999918,29339.9999999918,"Maple Valley",98038,10,"point population",2026-04-13
98042,10,0.000331237345204478,17.04079999996,29339.9999999918,29339.9999999918,"Maple Valley",98042,10,"point population",2026-04-13
98042,11,0.431072686913531,22176.9180000044,22176.9180000044,22176.9180000044,"Covington",98042,11,"point population",2026-04-13
98030,12,0.454124501599434,17800.6638333356,29685.1880000045,29685.1880000045,"Kent - Central",98030,12,"point population",2026-04-13
98031,12,0.172708426816552,7574.94416666902,29685.1880000045,29685.1880000045,"Kent - Central",98031,12,"point population",2026-04-13
98032,12,0.103440125823546,4309.57999999999,29685.1880000045,29685.1880000045,"Kent - Central",98032,12,"point population",2026-04-13
98031,13,0.000416030876894617,18.2469999998,34781.5410000194,34781.5410000194,"Kent - West",98031,13,"point population",2026-04-13
98032,13,0.833449264707023,34723.6263838579,34781.5410000194,34781.5410000194,"Kent - West",98032,13,"point population",2026-04-13
98198,13,0.00100889566265403,39.6676161616768,34781.5410000194,34781.5410000194,"Kent - West",98198,13,"point population",2026-04-13
98030,14,0.0217200329180738,851.376666667167,44886.6129999862,44886.6129999862,"Kent - East",98030,14,"point population",2026-04-13
98031,14,0.824067088934067,36143.3561947471,44886.6129999862,44886.6129999862,"Kent - East",98031,14,"point population",2026-04-13
98032,14,0.00373277629088917,155.5169999999,44886.6129999862,44886.6129999862,"Kent - East",98032,14,"point population",2026-04-13
98042,14,0.148543372601207,7641.94599571522,44886.6129999862,44886.6129999862,"Kent - East",98042,14,"point population",2026-04-13
98055,14,0.00390056221296886,94.4171428565715,44886.6129999862,44886.6129999862,"Kent - East",98055,14,"point population",2026-04-13
98003,15,0.000368918038360836,19.8561562499938,40395.0000000012,40395.0000000012,"Des Moines and Normandy Park",98003,15,"point population",2026-04-13
98148,15,0.24153764764099,2708.44742352961,40395.0000000012,40395.0000000012,"Des Moines and Normandy Park",98148,15,"point population",2026-04-13
98166,15,0.261006557203143,6013.32008951436,40395.0000000012,40395.0000000012,"Des Moines and Normandy Park",98166,15,"point population",2026-04-13
98198,15,0.805063605492346,31653.3763307068,40395.0000000012,40395.0000000012,"Des Moines and Normandy Park",98198,15,"point population",2026-04-13
98070,16,1,11202.9510000051,11202.9510000051,11202.9510000051,"Vashon",98070,16,"point population",2026-04-13
98042,17,0.00931307957505282,479.119666667472,24335.9759999907,24335.9759999907,"Fairwood",98042,17,"point population",2026-04-13
98058,17,0.533232412360354,23856.8563333232,24335.9759999907,24335.9759999907,"Fairwood",98058,17,"point population",2026-04-13
98032,18,0.000383869874160739,15.9929999999,33005.992999997,33005.992999997,"Seatac",98032,18,"point population",2026-04-13
98148,18,0.0188960571825948,211.88820000076,33005.992999997,33005.992999997,"Seatac",98148,18,"point population",2026-04-13
98168,18,0.0993300444150203,3764.60132257901,33005.992999997,33005.992999997,"Seatac",98168,18,"point population",2026-04-13
98188,18,0.723438178227396,21388.696661546,33005.992999997,33005.992999997,"Seatac",98188,18,"point population",2026-04-13
98198,18,0.193927498844991,7624.81381587129,33005.992999997,33005.992999997,"Seatac",98198,18,"point population",2026-04-13
98031,19,0.0028084533724744,123.177993589066,41782.7990000055,41782.7990000055,"Renton - South",98031,19,"point population",2026-04-13
98055,19,0.995987027800239,24108.8961930776,41782.7990000055,41782.7990000055,"Renton - South",98055,19,"point population",2026-04-13
98057,19,0.325619673658812,4509.74636364074,41782.7990000055,41782.7990000055,"Renton - South",98057,19,"point population",2026-04-13
98058,19,0.284957004852887,12748.9968133356,41782.7990000055,41782.7990000055,"Renton - South",98058,19,"point population",2026-04-13
98178,19,0.0110880177788085,291.981636362864,41782.7990000055,41782.7990000055,"Renton - South",98178,19,"point population",2026-04-13
98146,20,0.435933926429169,12826.6603333278,53319.9999999884,53319.9999999884,"Burien",98146,20,"point population",2026-04-13
98148,20,0.739566295176417,8293.01951999293,53319.9999999884,53319.9999999884,"Burien",98148,20,"point population",2026-04-13
98166,20,0.738993442796857,17025.6416666616,53319.9999999884,53319.9999999884,"Burien",98166,20,"point population",2026-04-13
98168,20,0.400388077845665,15174.6784800061,53319.9999999884,53319.9999999884,"Burien",98168,20,"point population",2026-04-13
98032,21,0.000681019192113875,28.3729999996,22960.0000000101,22960.0000000101,"Tukwila",98032,21,"point population",2026-04-13
98168,21,0.344385669240093,13052.1913438555,22960.0000000101,22960.0000000101,"Tukwila",98168,21,"point population",2026-04-13
98178,21,0.06466357650718,1702.7910000042,22960.0000000101,22960.0000000101,"Tukwila",98178,21,"point population",2026-04-13
98188,21,0.276561821772596,8176.64465615091,22960.0000000101,22960.0000000101,"Tukwila",98188,21,"point population",2026-04-13
98006,22,0.000412093115759377,16.8701666667333,27524.7359999992,27524.7359999992,"Newcastle and Four Creeks",98006,22,"point population",2026-04-13
98027,22,0.235483433235848,7002.19133333456,27524.7359999992,27524.7359999992,"Newcastle and Four Creeks",98027,22,"point population",2026-04-13
98038,22,0.0110768221483294,428.2533333335,27524.7359999992,27524.7359999992,"Newcastle and Four Creeks",98038,22,"point population",2026-04-13
98056,22,0.183613097383997,7028.00304761682,27524.7359999992,27524.7359999992,"Newcastle and Four Creeks",98056,22,"point population",2026-04-13
98059,22,0.305750378024222,13049.4181190476,27524.7359999992,27524.7359999992,"Newcastle and Four Creeks",98059,22,"point population",2026-04-13
98055,23,0.000112409986792452,2.721,68057.0349999937,68057.0349999937,"Renton - North",98055,23,"point population",2026-04-13
98056,23,0.816386902616008,31248.1501666549,68057.0349999937,68057.0349999937,"Renton - North",98056,23,"point population",2026-04-13
98057,23,0.67204434912375,9307.63650000397,68057.0349999937,68057.0349999937,"Renton - North",98057,23,"point population",2026-04-13
98058,23,0.0955398671186332,4274.46049999995,68057.0349999937,68057.0349999937,"Renton - North",98058,23,"point population",2026-04-13
98059,23,0.544144355615917,23224.0668333345,68057.0349999937,68057.0349999937,"Renton - North",98059,23,"point population",2026-04-13
98057,24,0.00233597721743933,32.3526666663667,17615.7430000107,17615.7430000107,"Skyway",98057,24,"point population",2026-04-13
98178,24,0.667730159528101,17583.3903333443,17615.7430000107,17615.7430000107,"Skyway",98178,24,"point population",2026-04-13
98045,25,0.504476598481573,8589.99999999489,23140.000000002,23140.000000002,"Snoqualmie and North Bend",98045,25,"point population",2026-04-13
